	21to22FACS16S221215A01	21to22FACS16S221215A02	21to22FACS16S221215A03	21to22FACS16S221215A04	21to22FACS16S221215A05	21to22FACS16S221215A06	21to22FACS16S221215A07	21to22FACS16S221215A08	21to22FACS16S221215A09	21to22FACS16S221215A10	21to22FACS16S221215A11	21to22FACS16S221215A12	21to22FACS16S221215B01	21to22FACS16S221215B02	21to22FACS16S221215B03	21to22FACS16S221215B04	21to22FACS16S221215B05	21to22FACS16S221215B06	21to22FACS16S221215B07	21to22FACS16S221215B08	21to22FACS16S221215B09	21to22FACS16S221215B10	21to22FACS16S221215B11	21to22FACS16S221215B12	21to22FACS16S221215C01	21to22FACS16S221215C02	21to22FACS16S221215C03	21to22FACS16S221215C04	21to22FACS16S221215C05	21to22FACS16S221215C06	21to22FACS16S221215C07	21to22FACS16S221215C08	21to22FACS16S221215C09	21to22FACS16S221215C10	21to22FACS16S221215C11	21to22FACS16S221215C12	21to22FACS16S221215D01	21to22FACS16S221215D02	21to22FACS16S221215D03	21to22FACS16S221215D04	21to22FACS16S221215D05	21to22FACS16S221215D06	21to22FACS16S221215D07	21to22FACS16S221215D08	21to22FACS16S221215D09	21to22FACS16S221215D10	21to22FACS16S221215D11	21to22FACS16S221215D12	21to22FACS16S221215E01	21to22FACS16S221215E02	21to22FACS16S221215E03	21to22FACS16S221215E04	21to22FACS16S221215E05	21to22FACS16S221215E06	21to22FACS16S221215E07	21to22FACS16S221215E08	21to22FACS16S221215E09	21to22FACS16S221215E10	21to22FACS16S221215E11	21to22FACS16S221215E12	21to22FACS16S221215F01	21to22FACS16S221215F02	21to22FACS16S221215F03	21to22FACS16S221215F04	21to22FACS16S221215F05	21to22FACS16S221215F06	21to22FACS16S221215F07	21to22FACS16S221215F08	21to22FACS16S221215F09	21to22FACS16S221215F10	21to22FACS16S221215F11	21to22FACS16S221215F12	21to22FACS16S221215G01	21to22FACS16S221215G02	21to22FACS16S221215G03	21to22FACS16S221215G04	21to22FACS16S221215G05	21to22FACS16S221215G06	21to22FACS16S221215G07	21to22FACS16S221215G08	21to22FACS16S221215G09	21to22FACS16S221215G10	21to22FACS16S221215G11	21to22FACS16S221215G12	21to22FACS16S221215H01	21to22FACS16S221215H02	21to22FACS16S221215H03	21to22FACS16S221215H04	21to22FACS16S221215H05	21to22FACS16S221215H06	21to22FACS16S221215H07	21to22FACS16S221215H08	21to22FACS16S221215H09	21to22FACS16S221215H10	21to22FACS16S221215H11	RID001236Blank
Pseudomonadales	0.11699370021837147	0.04389340173863474	0.10843373493975904	0.07493356953055802	0.038230157189986416	0.42658473479948256	0.15099377039454168	0.09490266393442623	0.045134443021766966	0.12633117561077467	0.23940029018216993	0.3900990099009901	0.017179639590008264	0.03083507447597223	0.033033114011433495	0.0742595818815331	0.469805398618958	0.4373356704645049	0.40266353309831576	0.10475253093363329	0.14697802197802196	0.13594506009052598	0.30272324255858135	0.261904761904762	0.024221453287197235	0.302340222689907	0.011533596249720961	0.058310194367314556	0.49434187016081	0.5966687230104873	0.1326676176890157	0.05109585423818326	0.09058882737795672	0.20885535307517086	0.2854645354645355	0.21790111393394568	0.011488042767367134	0.2757806796537516	0.056413591285969775	0.06179708772345211	0.4130144032921811	0.18566493955094993	0.10604942825525634	0.10227272727272728	0.061863308020003706	0.18592964824120603	0.32634935094511497	0.168086362486295	0.4	0.28865979381443296	0.1038961038961039	0.05058365758754864	0.4665151717684801	0.70765794511806	0.12259691144027733	0.15291445874337622	0.2680635838150289	0.09763539282990083	0.24759152215799615	0.14854330708661417	0.08186788828136544	0.06936416184971098	0.037811901679753825	0.03729355354288759	0.4640236686390532	0.13198458574181116	0.10508055374257153	0.07230880753896338	0.15570789031897034	0.18596387326029018	0.3551791169119689	0.20736698499317874	0.028312629399585922	0.042099096083026456	0.01569068946575514	0.11165263624280018	0.2627914336955375	0.08083832335329341	0.0656730321378668	0.10910200656137942	0.04052631578947368	0.13063296384543666	0.2639040348964013	0.07556018759770713	0.4472268211920529	0.04107609742672355	0.08227661456797405	0.027694610778443114	0.41407528641571195	0.11762563729060452	0.05604900459418071	0.052128010557571755	0.15515455016404764	0.11262312816716961	0.24253816359079516	0.0
Burkholderiales	0.06188239360281523	0.14322359982898683	0.07228915662650602	0.27457927369353424	0.2565495827673199	0.04762289780077621	0.11673094037377632	0.11501024590163936	0.278809218950064	0.1114011275840467	0.04691278413670804	0.19133663366336634	0.09656842135784396	0.08101368201118826	0.07644806385503178	0.251088850174216	0.11098556183301946	0.058428279287174985	0.036192714453584025	0.19431946006749154	0.12166405023547881	0.09505228656157329	0.37069875448596157	0.21819196428571433	0.13679354094579002	0.2138398719263218	0.07880050599002907	0.17810392701309002	0.04556283502084574	0.06403454657618754	0.08321445553970519	0.1399524689728017	0.06995470558631102	0.0748861047835991	0.19218281718281718	0.25610709400039117	0.059970995535587414	0.20353933725251247	0.09047309380588524	0.18953474606369117	0.05396090534979422	0.08462867012089811	0.10365178900774623	0.1477272727272727	0.10538988701611413	0.1636306532663316	0.23058528808927356	0.20266509235051008	0.0	0.19072164948453607	0.05194805194805195	0.2217898832684825	0.026199705921668225	0.026100829610721122	0.02615820989599748	0.02952308856926571	0.03901734104046242	0.15293668954996187	0.25481695568400775	0.08125984251968514	0.050440864982020585	0.1560693641618497	0.07666250668568353	0.07991475759190196	0.07183431952662721	0.12748876043673732	0.10003091614853493	0.10085175788329101	0.21306659205372133	0.0960912052117264	0.2232713135240211	0.14870395634379263	0.044306418219461706	0.2179862738533643	0.07103504163335447	0.18210013291980504	0.06488026163097377	0.005988023952095809	0.2608290638099674	0.2029449912260624	0.19999999999999998	0.17300321143685898	0.2311886586695747	0.15151120375195412	0.17891142384105954	0.09199119306453832	0.08787968150987908	0.23839820359281436	0.07265352593752226	0.24399126001456664	0.07411944869831545	0.08171120642252282	0.17276808841305466	0.20452086773330294	0.15846434267486892	0.33396946564885494
Rhizobiales	0.05267622892872292	0.06298988171583297	0.0	0.18565101860053143	0.19386764991267225	0.1026843467011643	0.17442895283298723	0.19633709016393439	0.13092189500640203	0.13301315514721232	0.1392874415605352	0.12673267326732673	0.03433028400771274	0.034811619599649526	0.03430050695717829	0.06620209059233449	0.17225360954174515	0.13487194468789565	0.181825303564434	0.17800899887514054	0.06436420722135008	0.14687061027001716	0.11484061642389698	0.06845238095238095	0.028835063437139565	0.01563146439299912	0.02589478383808319	0.11146370487901626	0.09321024419297202	0.0526835286859963	0.16595339990489777	0.1328228148930552	0.09511826874685454	0.05523917995444191	0.06218781218781219	0.11530193472737932	0.047061165297011424	0.024420768356744105	0.03393757112664607	0.19284953237835917	0.09398148148148147	0.10006476683937826	0.20084839542604205	0.10227272727272725	0.13400629746249304	0.06909547738693468	0.08995672967433384	0.13030277473222565	0.0	0.04639175257731959	0.0	0.19455252918287935	0.101056008555006	0.04626675175494576	0.17680428616451307	0.23618470855412566	0.033236994219653176	0.12662090007627763	0.12861271676300579	0.03940944881889764	0.040047288310920644	0.08092485549132947	0.02685125613338811	0.40277037826318596	0.12071005917159763	0.20231213872832365	0.07437051286455294	0.1940014498006524	0.16564073866815893	0.12200177672490375	0.14912524298805882	0.18417462482946795	0.022101449275362325	0.02925175761633746	0.019399892313465728	0.10013291980505093	0.08207616837219117	0.06287425149700598	0.21564974382859803	0.07644769970244907	0.18789473684210525	0.10431990054905212	0.04471101417666303	0.2789213131839501	0.016659768211920528	0.034402091647172145	0.14508994396933056	0.22455089820359278	0.06873977086743045	0.09868900218499636	0.07891781521184277	0.2109314857582756	0.22224140908305992	0.09417525479701645	0.09011164274322168	0.0019083969465648854
Vicinamibacterales	0.08697154886651055	0.11272623628331194	0.10843373493975904	0.013817537643932684	0.0894624490588007	0.057001940491591206	0.026698309107089886	0.005251024590163934	0.08482714468629961	0.07872207141365625	0.16846687086893444	0.046534653465346534	0.13100018846862005	0.2088697175978972	0.19787509438032588	0.09516550522648085	0.03377275580665411	0.07780699191742137	0.03979631805718763	0.028824521934758155	0.1467817896389325	0.0666458560948962	0.07283090563647877	0.09691220238095237	0.10242214532871974	0.0032198298346914184	0.2330530545427487	0.06862356207854024	0.06700416914830255	0.022455274521900062	0.015691868758915834	0.03313968840771059	0.1655762455963764	0.012243735763097952	0.01461038961038961	0.0533515731874145	0.08877640970227775	8.233569911242116e-05	0.2802389855308082	0.05824553095773647	0.03945473251028807	0.022452504317789296	0.050350424197713024	0.13268716577540102	0.1520651972587516	0.04868090452261307	0.07002960601229788	0.09623007506114532	0.0	0.0	0.025974025974025976	0.04669260700389105	0.01630798021654859	0.02603701340140396	0.08540813110620862	0.11809235427706283	0.08815028901734104	0.04576659038901602	0.06213872832369941	0.024291338582677163	0.1926013496872076	0.0	0.2863565542955043	0.04848161960575386	0.05384615384615385	0.03773281952472704	0.026347428806980183	0.08508517578832911	0.09051482932288753	0.10926858158128518	0.08469869480699804	0.07366984993178717	0.275517598343685	0.004728824907934383	0.28613073580359666	0.1047851129818343	0.08777297183247178	0.05538922155688623	0.011644154634373545	0.07858396276798657	0.049999999999999996	0.08981663731482442	0.0522082878953108	0.1272798332464825	0.07512417218543042	0.20696298334938773	0.1073429666764966	0.08720059880239521	0.046965060841101545	0.01820830298616169	0.006023481368044922	0.06763444407786211	0.0764980141599033	0.06507999772248474	0.0480747322852586	0.0
Corynebacteriales	0.010133065212951473	0.026079521162890123	0.012048192771084338	0.017891939769707706	0.04405200853871531	0.025388098318240623	0.015574013645802433	0.028816598360655737	0.006402048655569783	0.013885988724159533	0.00870546509753345	0.03787128712871288	0.015845861664032942	0.005257127451641167	0.0030201704239024916	0.06925087108013937	0.0051475204017576905	0.005842827928717499	0.03924794359576969	0.03796400449943758	0.0027472527472527475	0.07164039331980647	0.0	0.012648809523809524	0.008073817762399077	0.008562229057615167	0.0	0.07100357001190004	0.01042287075640262	0.023442319555829736	0.03185924869234427	0.004489041457618167	0.0	0.0928246013667426	0.09852647352647352	0.024623803009575923	0.009184747064008871	0.01320115709102486	0.007072020809624451	0.016218775896768085	0.07906378600823048	0.05926165803108808	0.009959424566580598	0.04060828877005347	0.010001852194850898	0.007537688442211055	0.03302209063994535	0.03660285063675466	0.0	0.005154639175257732	0.025974025974025976	0.10505836575875487	0.05119636412244352	0.009763880025526483	0.05483769303498266	0.01968205904617714	0.01950867052023121	0.06292906178489703	0.031791907514450865	0.19606299212598438	0.0020196049455691836	0.0	0.0018836187183641198	0.012786361214704315	0.021538461538461538	0.02906229929351317	0.01775960976950294	0.0	0.06421376608841634	0.044270062185371634	0.018605942793668426	0.010914051841746248	0.03530020703933748	0.012721794442584535	0.0035460414321221326	0.00022153300841825432	0.06920561240637199	0.004491017964071857	0.026548672566371678	0.0031280994888227666	0.005263157894736842	0.002279084222521496	0.018538713195201745	0.029181865554976552	0.011899834437086093	0.005985963946607954	0.027425538189324684	0.03255988023952096	0.07877321568348397	0.028040786598689	0.013374170495150587	0.02771362586605081	0.014073562424451735	0.03831919375960827	0.0863522442469811	0.0
Sphingomonadales	0.02150723453725669	0.12369958671797063	0.03614457831325302	0.09902568644818423	0.04579856394333398	0.007357697283311772	0.0031148027291604866	0.05596823770491803	0.02208706786171575	0.0059511380246398	0.005481218765113655	0.00024752475247524753	0.05720747495541992	0.003100357215070432	0.021572645885017797	0.04202961672473868	0.017451349654739483	0.0074009153763754994	0.007050528789659225	0.024887514060742407	0.011185243328100471	0.0003121585765568909	0.0	0.003720238095238095	0.06089965397923876	0.0198226395409494	0.02336483369298311	0.038080126933756446	0.020547945205479454	0.009623689080814313	0.020922491678554447	0.038288883020860844	0.027512162388860933	0.026480637813211846	0.027472527472527472	0.014461598592925543	0.06425057582392588	0.01699408829680372	0.044952040318647385	0.027465372321534273	0.02139917695473251	0.037025043177892916	0.0014754703061600886	0.0259024064171123	0.00694573069086868	0.039572864321608045	0.040309724436347075	0.001012060386269714	0.0	0.12371134020618556	0.0	0.027237354085603113	0.025665018045715814	0.0022335673261008296	0.08666876772770249	0.002271006813020439	0.002890173410404624	0.03318077803203661	0.0	0.015039370078740158	0.02014679079848284	0.0	0.015138713403148665	0.005860415556739478	0.0	0.048651252408477834	0.023599326714987462	0.02953968829285973	0.010772243984331282	0.0	0.0019439044709802832	0.005457025920873124	0.008436853002070394	0.022472380314697015	0.021346951872821106	0.05405405405405405	0.00464183985652495	0.10029940119760479	0.0	0.02853437094682231	0.025789473684210525	0.022480058013052934	0.031488549618320615	0.03348097967691506	0.02700745033112583	0.012866382276042383	0.02182247124741964	0.06287425149700598	0.0022059346758699213	0.04042243262927895	0.04104134762633997	0.10018695699989004	0.023225695044033847	0.05574218527586403	0.004784688995215311	0.0
Enterobacterales	0.0043831398362999385	0.0018526435798774405	0.08433734939759036	0.07475642161204607	0.00038812342324859306	0.001536222509702458	0.0	0.00025614754098360657	0.0	0.026519106285237	0.0025793970659358373	0.00024752475247524753	0.00013047827536715137	0.0	0.00032358968827526696	0.008057491289198606	0.0	0.0	0.003133568350959655	0.03360517435320585	0.13618524332810042	0.005462775089745591	0.0	0.04464285714285714	0.01314878892733564	0.06004353066033493	0.0027531810402559712	0.0	0.0	0.002961135101789019	0.0	0.02033271719038817	0.0	0.021070615034168565	0.0013736263736263737	0.0007817080320500293	0.00019905024596923252	0.08180326159149416	0.004389530157697935	0.0	0.010133744855967077	0.021912780656303973	0.0	0.0	0.017595851083533988	0.0	0.0	0.00016867673104495234	0.4	0.010309278350515464	0.5454545454545455	0.0	0.01376821280577463	6.381620931716656e-05	0.0	0.0	0.002890173410404624	0.004576659038901601	0.025529865125240848	0.002795275590551181	0.010590611299935963	0.046242774566473986	0.00010852124303332377	0.044752264251465106	0.0	0.0	0.01161073133866923	0.0061616527727437476	0.049384443200895356	0.027391175599644654	0.0	0.002728512960436562	0.00015527950310559007	0.013391362571141615	0.0006145746653831302	0.0008861320336730173	0.0050638252980272185	0.061377245508982034	0.0002328830926874709	0.010910200656137941	0.0010526315789473684	0.016264373769812494	0.0008178844056706652	0.0	0.0	0.004265859364249346	0.0920082571512828	0.0	0.016722408026755852	0.0	0.0027565084226646246	0.0	0.0	0.017821556681660307	0.008202323991797676	0.34541984732824427
Xanthomonadales	0.024727821155326537	0.006698019096479977	0.08433734939759036	0.012223206377325066	0.020958664855424025	0.0	0.018985464253930582	0.0704405737704918	0.0009603072983354673	0.031217373146794743	0.013058197646300177	0.00024752475247524753	0.014381605462690461	0.017456359102244388	0.00528529824182936	0.003484320557491289	0.0	0.0	0.010105757931844888	0.08731721034870642	0.03512558869701727	0.00015607928827844546	0.00021110407430863416	0.0	0.022837370242214532	0.045707193351680955	0.03311258278145695	0.005950019833399445	0.0	0.0016039481801357186	0.0	0.19566939529970956	0.030531789968126156	0.009538724373576309	0.0014985014985014985	0.0	0.02138368356698041	0.03420224941129974	0.020565761664769956	0.0	0.0022119341563786006	0.06714162348877376	0.009774990778310587	0.0	0.0062974624930542695	0.004711055276381909	0.006718287406057845	0.006494054145230665	0.0	0.13917525773195877	0.0	0.011673151750972763	0.0	0.007402680280791321	0.0	0.0	0.004335260115606936	0.0	0.0	0.016299212598425195	0.021427515885916952	0.13872832369942195	0.017278132194377047	0.0527437400106553	0.008402366863905325	0.0422286448298009	0.07522929476830066	0.07339615802827111	0.049244543928371576	0.047379330766952915	0.0	0.025920873124147342	0.0291407867494824	0.12181955138935388	0.01750178117878684	0.02348249889233496	0.0025319126490136092	0.02844311377245509	0.03982300884955753	0.1168841077286946	0.0	0.05013985289547291	0.0016357688113413304	0.008467952058363731	0.013658940397350992	0.006467593229668364	0.0002948982601002654	0.0	0.002205934675869921	0.0003641660597232338	0.082899438489025	0.039041020565269986	0.03660853047832844	0.016170358139270057	0.0001139211665527455	0.0
Chitinophagales	0.01739116773757718	0.007410574319509762	0.03614457831325301	0.0	0.009703085581214826	0.02158796895213454	0.0	0.05609631147540983	0.0019206145966709346	0.010544998955940698	0.03369337417378688	0.009653465346534653	0.02566072748887311	0.028206510750151653	0.0344892676086722	0.0	0.0038920276208411803	0.01694420099328075	0.005248726987857422	0.002671541057367829	0.005690737833594976	0.022319338223817698	0.00021110407430863416	0.0	0.020069204152249137	0.06970302016440921	0.033112582781456956	0.011503371677905593	0.005658129839189994	0.003578038247995065	0.0	0.029574861367837338	0.03925515853044791	0.0	0.0	0.0	0.020971365200329852	0.051734264275637945	0.050113802633718084	0.019415176985912157	0.00020576131687242798	0.008095854922279792	0.0	0.07553475935828878	0.048897944063715504	0.0	0.0	0.024542464367040565	0.0	0.0	0.0	0.011673151750972763	0.0030744552867263734	0.0	0.0	0.028766086298258896	0.015173410404624277	0.03775743707093822	0.0	0.009606299212598425	0.01418649327619329	0.08670520231213873	0.041982218019177266	0.0	0.0	0.00016056518946692356	0.015664181924358492	0.015222906850308082	0.00097929490766648	0.09372223867337875	0.011108025548458762	0.01227830832196453	0.02054865424430642	0.09072648141948443	0.04636503559638217	0.0037660611431103233	0.0037978689735204134	0.0	0.004191895668374477	0.04531929503318837	0.02	0.05418004765357921	0.01608505997818975	0.0002605523710265763	0.004242549668874173	0.011765515343332875	0.0	0.0	0.013164448872126948	0.011289147851420248	0.043389484430832057	0.026723853513691852	0.0	0.005522974434891533	0.008771929824561403	0.0
Bacteria_unclassified	0.012065417183793389	0.0423257802479692	0.07228915662650602	0.0	0.004269357655734524	0.009459896507115132	0.06526253337288639	0.00012807377049180329	0.04737516005121639	0.015556483608268954	0.041109140738352416	0.005198019801980198	0.013845194775069946	0.03059917773134731	0.053014777262431215	0.043336236933797914	0.02071563088512241	0.017236342389716622	0.00015667841754798275	0.016451068616422947	0.005886970172684459	0.029498985484626192	0.009710787418197172	0.026785714285714284	0.02029988465974626	0.0009713453132588636	0.012426519830344516	0.026973423244744152	0.0	0.009747069710055522	0.00047551117451260106	0.030102983892263006	0.02851870491528267	0.004840546697038724	0.0023726273726273725	0.00957592339261286	0.018383712002729823	0.003672172180413984	0.014265973012518285	0.0179945542796259	0.011162551440329217	0.0033462867012089806	0.00018443378827001107	0.02807486631016043	0.035376921652157806	0.03863065326633166	0.013094966977909359	0.01459053723538838	0.0	0.0	0.0	0.0038910505836575876	0.012832509022857907	0.013082322910019147	0.00976993381657737	0.07115821347464042	0.06936416184971099	0.0007627765064836003	0.009633911368015413	0.006929133858267715	0.02014679079848285	0.0	0.028548838435123704	0.014917421417155035	0.03881656804733728	0.017822736030828512	0.006732850125382158	0.0001812250815512867	0.009093452714045887	0.007403020432336393	0.0033324076645376284	0.0	0.02458592132505176	0.00460328088382993	0.02334839857070602	0.0024368630926007973	0.023631184724127015	0.0	0.00512342803912436	0.023575188830395968	0.0	0.014399668496840361	0.060114503816793896	0.03973423658155289	0.010968543046357616	0.03116829503233796	0.0041285756414037155	0.010479041916167664	0.007542873407813277	0.009832483612527313	0.0002041858090862685	0.0	0.02952857882921775	0.024540226612765472	0.004101161995898838	0.0
