	Proteobacteria	Acidobacteriota	Actinobacteriota	Firmicutes	Bacteroidota	Planctomycetota	Verrucomicrobiota	Bacteria_unclassified	Myxococcota	Chloroflexi	Crenarchaeota	Gemmatimonadota	Desulfobacterota	Deinococcota	Nitrospirota	Latescibacterota	Bdellovibrionota	Cyanobacteria	Armatimonadota	Methylomirabilota	RCP2-54	Entotheonellaeota	Fusobacteriota	Elusimicrobiota	NB1-j	Abditibacteriota	MBNT15	Patescibacteria	Fibrobacterota	Spirochaetota	Sumerlaeota	Dependentiae	WS2	Halobacterota	WPS-2	Thermoplasmatota	Campylobacterota	SAR324_clade(Marine_group_B)	GAL15	FCPU426	Archaea_unclassified	Deferrisomatota	Hydrogenedentes
21to22FACS16S221215A01	0.32051906430176086	0.12847784079304972	0.17064396022182748	0.028199770631392087	0.034562392974408114	0.045339575510973555	0.07463905864609681	0.012065417183793389	0.008719149136725684	0.08309113474620203	0.03493943726140166	0.006158390020894537	0.029975020815986683	0.0006912478594881624	0.0028906728669504966	0.0027021507234537257	0.0013510753617268628	0.0031263255463214613	0.002073743578464487	0.0	0.002466498044082761	0.00048701553736665983	0.0	0.00031420357249461924	0.0012096837541042843	0.0	4.713053587419289e-05	0.0012411041113537461	0.0	0.0	0.0016181483983472892	0.0010368717892322436	0.0	0.0	0.0014139160762257866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A02	0.4355137523158047	0.15348439504061567	0.12768989596693742	0.019666524155622058	0.04560353427390622	0.04588855636311814	0.02864471996579735	0.0423257802479692	0.0024226877583012688	0.04175573606954538	0.011685905657688471	0.007695596408721676	0.006412997007268064	0.0	0.00042753313381787086	0.0005700441784238278	0.003420265070542967	0.006270485962662106	0.009263217899387203	0.0	0.0002850220892119139	0.0	0.0	0.0	0.00940572894399316	0.0	0.0	0.0012825994014536127	0.0	0.0	0.0	0.0	0.0	0.0	0.0002850220892119139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A03	0.39759036144578314	0.13253012048192772	0.08433734939759037	0.12048192771084337	0.03614457831325301	0.024096385542168676	0.04819277108433735	0.07228915662650602	0.0	0.04819277108433735	0.024096385542168676	0.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A04	0.8338352524357838	0.02019486271036315	0.03224092116917626	0.029229406554472984	0.0030115146147032773	0.028343666961913195	0.007971656333038087	0.0	0.0	0.0	0.045172719220549155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A05	0.5664661362313212	0.1705802445177566	0.06345817970114496	0.03764797205511353	0.02852707160877159	0.07781874636134291	0.0392004657481079	0.004269357655734524	0.0	0.0	0.012031826120706385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A06	0.6387451487710218	0.10082470892626133	0.03913324708926262	0.06298512289780078	0.037597024579560163	0.018515523932729625	0.021345407503234153	0.009459896507115132	0.021668822768434667	0.007034282018111254	0.01794954721862872	0.0024256144890038808	0.0	0.001131953428201811	0.0	0.00986416558861578	0.011319534282018111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A07	0.49436369029961424	0.03188964698902403	0.07223375852862651	0.08024325126075348	0.03530109759715218	0.0403441115396025	0.0	0.06526253337288639	0.13586472856719073	0.0002966478789676654	0.021210323346188074	0.0	0.007564520913675467	0.0	0.0	0.0	0.0	0.0	0.0	0.0001483239394838327	0.0	0.0	0.0	0.015277365766834767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A08	0.5943903688524591	0.023181352459016393	0.04918032786885246	0.05058913934426229	0.15522540983606556	0.0	0.0157530737704918	0.00012807377049180329	0.04149590163934426	0.014984631147540985	0.013575819672131147	0.022412909836065573	0.0	0.019082991803278687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A09	0.5083226632522405	0.13412291933418696	0.06530089628681177	0.030089628681177982	0.06402048655569782	0.04321382842509603	0.01088348271446863	0.04737516005121639	0.0	0.0038412291933418692	0.01792573623559539	0.029449423815621	0.0009603072983354673	0.0	0.01088348271446863	0.024007682458386685	0.0	0.0	0.009603072983354673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21to22FACS16S221215A10	0.5625391522238475	0.10586761328043424	0.09427855502192506	0.014930048026727923	0.022029651284192948	0.04625182710377951	0.027249947797034883	0.015556483608268954	0.05700563792023387	0.0229693046565045	0.006264355815410316	0.0022969304656504487	0.007621632908749218	0.00031321779077051577	0.00020881186051367718	0.0007308415117978701	0.01106702860722489	0.00020881186051367718	0.0008352474420547087	0.0	0.0005220296512841929	0.0	0.0	0.0	0.0	0.0	0.0	0.0006264355815410315	0.0	0.0	0.00041762372102735435	0.0	0.0	0.0	0.00020881186051367718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
