	Alphaproteobacteria	Gammaproteobacteria	Vicinamibacteria	Actinobacteria	Verrucomicrobiae	Bacilli	Planctomycetes	Blastocatellia	Thermoleophilia	Bacteroidia	Acidobacteriae	Polyangia	Bacteria_unclassified	Gemmatimonadetes	Nitrososphaeria	Methylomirabilia	Acidimicrobiia	Phycisphaerae	Babeliae	KD4-96	Myxococcia	Nitrospiria	TK10	Thermoanaerobaculia	Holophagae	Desulfobacterota_class	Anaerolineae	Chloroflexia	MB-A2-108	Subgroup_25	Subgroup_5	Chlamydiae	Clostridia	Oligoflexia	RCP2-54_cl	bacteriap25	Actinobacteriota_unclassified	Entotheonellia	Dehalococcoidia	Latescibacterota_cl	Chthonomonadetes	NB1-j_cl	Ktedonobacteria	Bdellovibrionia	Armatimonadota_class	OM190	AD3	Sumerlaeia	Gitt-GS-136	Chloroflexi_unclassified	JG30-KF-CM66	Subgroup_11	Vampirivibrionia	Planctomycetota_unclassified	Subgroup_22	Fimbriimonadia	Lineage_IIa	MBNT15_cl	Rubrobacteria	Longimicrobia	Parcubacteria	Desulfobacterota_unclassified	Abditibacteria	OLB14	Latescibacteria	Armatimonadia	Sericytochromatia	Fibrobacteria	S0134_terrestrial_group	AT-s3-28	Proteobacteria_unclassified	Subgroup_18	Desulfuromonadia	Acidobacteriota_unclassified	Firmicutes_unclassified	Pla4_lineage	WPS-2_cl	SJA-28	BD2-11_terrestrial_group	Negativicutes	Saccharimonadia	P9X2b3D02	Lineage_IIb	WS2_cl	Symbiobacteriia	P2-11E	Elusimicrobia	vadinHA49	BD7-11	Nanoarchaeia	Gracilibacteria	Bacteroidota_unclassified	Microgenomatia	Cyanobacteriia	Myxococcota_unclassified	ABY1	Spirochaetia	Subgroup_20	Kapabacteria	Limnochordia	Desulfitobacteriia	Thermoplasmatota_unclassified	Berkelbacteria	Pla3_lineage	Armatimonadota_unclassified	SAR324_clade(Marine_group_B)_cl	Omnitrophia	Leptospirae	Patescibacteria_unclassified	Cyanobacteria_unclassified	Hydrogenedentia	SHA-26	GAL15_cl	Rhodothermia	BRH-c20a	Lineage_IIc	Ignavibacteria	Kryptonia	Syntrophobacteria	Deinococci	Gemmatimonadota_unclassified	Desulfotomaculia	Elusimicrobiota_unclassified	Fusobacteriia	Subgroup_19	FCPU426_cl	Archaea_unclassified	WS4_cl	Verrucomicrobiota_unclassified	Methanobacteria	Bdellovibrionota_unclassified	Patescibacteria_class	Chitinivibrionia	Kiritimatiellae	Nitrospirota_unclassified	WWE3	Kazania	Coriobacteriia	Margulisbacteria_cl	Desulfobaccia	Halanaerobiia	Methanocellia	Thermodesulfovibrionia	Thermoplasmata	Desulfovibrionia	TA06_cl
S1S202009a	0.20868113522537526	0.1777963272120198	0.12353923205342227	0.09181969949916517	0.044240400667779595	0.027545909849749584	0.04090150250417359	0.018363939899833055	0.015025041736227046	0.0592654424040066	0.03005008347245409	0.02587646076794658	0.007512520868113523	0.02003338898163606	0.005008347245409015	0.010851419031719533	0.014190317195325543	0.01001669449081803	0.005843071786310518	0.0	0.0025041736227045075	0.008347245409015025	0.001669449081803005	0.001669449081803005	0.0025041736227045075	0.005843071786310518	0.00333889816360601	0.0008347245409015025	0.0008347245409015025	0.001669449081803005	0.001669449081803005	0.00333889816360601	0.01001669449081803	0.0025041736227045075	0.0008347245409015025	0.0008347245409015025	0.0	0.0	0.0008347245409015025	0.0008347245409015025	0.0	0.0025041736227045075	0.0008347245409015025	0.0025041736227045075	0.0	0.001669449081803005	0.0	0.0008347245409015025	0.0	0.0	0.0	0.0	0.0	0.0008347245409015025	0.0	0.0	0.0	0.001669449081803005	0.0008347245409015025	0.0	0.0	0.0	0.0	0.0	0.001669449081803005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1S202009b	0.16707616707616724	0.2039312039312042	0.14864864864864877	0.07371007371007371	0.04299754299754302	0.01597051597051597	0.03931203931203933	0.0171990171990172	0.01597051597051597	0.06142506142506146	0.025798525798525797	0.04545454545454549	0.011056511056511056	0.01597051597051597	0.002457002457002457	0.013513513513513513	0.0085995085995086	0.01474201474201474	0.0085995085995086	0.0012285012285012285	0.006142506142506142	0.004914004914004914	0.002457002457002457	0.004914004914004914	0.002457002457002457	0.002457002457002457	0.0012285012285012285	0.0012285012285012285	0.0	0.0	0.0012285012285012285	0.0012285012285012285	0.007371007371007371	0.0	0.002457002457002457	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0	0.002457002457002457	0.0012285012285012285	0.0036855036855036856	0.002457002457002457	0.006142506142506143	0.0	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0036855036855036856	0.0	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1U202009a	0.16751977664029735	0.14657980456026035	0.11493718008376005	0.038157282456956716	0.11028385295486279	0.023266635644485795	0.05490926012098655	0.07677989762680319	0.01023731968357376	0.016751977664029784	0.023731968357375517	0.009306654257794325	0.028850628199162377	0.011633317822242908	0.02000930665425779	0.034434620753839	0.009771986970684042	0.007910656119125177	0.014425314099581211	0.0018613308515588647	0.0018613308515588647	0.008841321544904607	0.0037226617031177293	0.006049325267566311	0.004187994416007446	0.004187994416007446	0.002791996277338297	0.003257328990228013	0.0	0.0018613308515588647	0.0037226617031177293	0.002791996277338297	0.00046533271288971617	0.0037226617031177293	0.002791996277338297	0.003257328990228013	0.0	0.0	0.0009306654257794323	0.002791996277338297	0.002791996277338297	0.0013959981386691485	0.00046533271288971617	0.0009306654257794323	0.0	0.0013959981386691485	0.0	0.0013959981386691485	0.00046533271288971617	0.00046533271288971617	0.0	0.00046533271288971617	0.00046533271288971617	0.0013959981386691485	0.0018613308515588647	0.0	0.00046533271288971617	0.00046533271288971617	0.0	0.00046533271288971617	0.00046533271288971617	0.0	0.0009306654257794323	0.0013959981386691485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046533271288971617	0.00046533271288971617	0.00046533271288971617	0.0	0.0	0.00046533271288971617	0.00046533271288971617	0.0	0.0	0.00046533271288971617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046533271288971617	0.00046533271288971617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1U202009b	0.08571428571428572	0.17142857142857143	0.22857142857142856	0.0	0.05714285714285714	0.02857142857142857	0.02857142857142857	0.14285714285714285	0.0	0.0	0.02857142857142857	0.0	0.05714285714285714	0.02857142857142857	0.0	0.05714285714285714	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2S202009a	0.20996362834784627	0.1282376281274116	0.12515154855064484	0.10106910613909399	0.05648627796759613	0.04061501157279838	0.04507880524633524	0.021216797090267834	0.015375289319960309	0.039788383114735995	0.033946875344428494	0.046236085087622565	0.00810095888901135	0.024523310922517375	0.008817370219332085	0.01267496969028987	0.00556596495095338	0.010470627135456847	0.002314559682574672	0.004408685109666042	0.002369668246445497	0.0031411881406370546	0.0029207538851537527	0.0025901025019287997	0.004629119365149345	0.005565964950953378	0.0051802050038575985	0.0015981483522539406	0.001983908299349719	0.0017083654799955913	0.002700319629670451	0.00044086851096660423	0.004353576545795217	0.0009919541496748595	0.0003857599470957787	0.0003857599470957787	0.0012674969690289874	0.0006061942025790808	0.0009368455858040339	0.0004959770748374297	0.0	0.0006613027664499064	0.0007715198941915574	0.0012674969690289872	0.0007715198941915574	0.0021492339909621955	0.0004408685109666042	0.0006061942025790808	5.510856387082553e-05	5.510856387082553e-05	0.0	0.00027554281935412766	0.0	0.0	0.0003306513832249532	0.0005510856387082553	0.00011021712774165106	5.510856387082553e-05	0.0007715198941915574	0.00027554281935412766	0.00027554281935412766	0.0	0.0002755428193541276	0.0	0.0	0.0014328226606414639	0.0	0.0009368455858040339	0.0	0.0	0.0	0.0	0.00022043425548330211	5.510856387082553e-05	0.00011021712774165106	0.0004959770748374297	5.510856387082553e-05	0.00011021712774165106	0.00011021712774165106	0.0005510856387082553	5.510856387082553e-05	0.0	0.0007164113303207318	0.0	0.0	0.0	0.0	0.0001653256916124766	0.0	0.0	0.0	0.0	0.0004959770748374297	0.0002755428193541276	0.0001653256916124766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.510856387082553e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2S202009b	0.20798002638025165	0.1330789523271145	0.1004333898624459	0.1090069719238742	0.05162992274354632	0.036037309214245375	0.047154701337855716	0.0241190879969851	0.013519879404560026	0.04894478990013194	0.03787450537026573	0.05134727718108163	0.008997550405125315	0.02463727152817031	0.010834746561145657	0.01026945543621632	0.00579423403052572	0.009091765592613528	0.001366120218579235	0.0024967024684379117	0.003156208780855474	0.00334463915583192	0.004616544186922931	0.005087620124364047	0.0026380252496702467	0.0042396834369700384	0.004428113811946484	0.0042396834369700384	0.0020256265309967964	0.0029677784058790273	0.0014603354060674582	0.001177689843602789	0.004804974561899378	0.0010363670623704541	4.710759374411155e-05	0.0003768607499528924	0.0025438100621820235	0.0008479366873940078	0.0008479366873940079	0.0005652911249293386	0.00042396834369700395	0.0013661202185792352	0.00047107593744111546	0.0013190126248351234	0.0005181835311852271	0.0012247974373469004	0.0008950442811381194	0.0004710759374411155	0.0	0.0	0.0003768607499528924	0.0	0.0	0.0	0.00023553796872055775	0.0008479366873940079	0.0007537214999057848	0.0	0.0	0.0009421518748822309	0.00032975315620878084	0.0	9.42151874882231e-05	0.00014132278123233464	0.0	9.42151874882231e-05	0.0	0.0002826455624646693	0.0	0.00014132278123233464	0.0	0.0007066139061616733	0.0	0.0	0.0	0.0010363670623704541	0.0	0.0	0.00023553796872055775	0.00032975315620878084	0.00047107593744111546	0.0	0.0006123987186734502	4.710759374411155e-05	0.0	4.710759374411155e-05	9.42151874882231e-05	0.0	0.0	9.42151874882231e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.710759374411155e-05	0.0	0.0	0.00023553796872055775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.710759374411155e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2U202009a	0.1779359430604988	0.10955770208439276	0.12404677173360469	0.036858159633960365	0.10930350788002051	0.04143365531265893	0.04956786985256748	0.06863243518047797	0.009659379766141328	0.03787493645144896	0.02897813929842398	0.006354855109303507	0.023640061006609037	0.022114895780376197	0.021606507371631924	0.021098118962887644	0.005338078291814947	0.012709710218607012	0.005083884087442808	0.002287747839349263	0.004575495678698526	0.004067107269954245	0.007117437722419928	0.005592272496187086	0.007117437722419927	0.003050330452465684	0.0033045246568378247	0.005846466700559225	0.0012709710218607017	0.006100660904931367	0.005083884087442805	0.0020335536349771225	0.000762582613116421	0.0002541942043721403	0.0010167768174885613	0.0010167768174885613	0.0010167768174885613	0.0017793594306049825	0.0017793594306049823	0.0033045246568378247	0.0005083884087442806	0.0	0.0010167768174885613	0.000762582613116421	0.0012709710218607017	0.0010167768174885613	0.000762582613116421	0.0005083884087442806	0.0005083884087442806	0.0010167768174885613	0.000762582613116421	0.0005083884087442806	0.000762582613116421	0.0	0.0005083884087442806	0.002033553634977123	0.0002541942043721403	0.0	0.0002541942043721403	0.000762582613116421	0.0002541942043721403	0.0002541942043721403	0.0005083884087442806	0.0	0.0	0.0002541942043721403	0.0005083884087442806	0.0	0.0005083884087442806	0.0002541942043721403	0.0	0.0005083884087442806	0.0002541942043721403	0.0005083884087442806	0.0002541942043721403	0.0002541942043721403	0.0	0.0002541942043721403	0.0	0.0	0.0	0.0	0.0	0.0005083884087442806	0.0	0.0	0.0	0.0002541942043721403	0.0002541942043721403	0.0	0.0	0.0002541942043721403	0.0002541942043721403	0.0	0.0	0.0	0.0	0.0	0.0002541942043721403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002541942043721403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2U202009b	0.16608391608391754	0.112364907819453	0.1454227590591232	0.03639542275905907	0.11395422759059114	0.03941513032422116	0.04275270184361077	0.061506675143038717	0.009059122695486336	0.04386522568340737	0.029879211697393458	0.008741258741258745	0.01859504132231403	0.01986649713922438	0.02288620470438652	0.018595041322314036	0.00445009535918627	0.011602034329307063	0.0069930069930069965	0.002542911633820725	0.005562619198982836	0.004291163382072473	0.005562619198982837	0.003814367450731087	0.005880483153210428	0.0023839796567069298	0.00476795931341386	0.003814367450731088	0.0007946598855689765	0.007787666878575971	0.005244755244755245	0.00270184361093452	0.0006357279084551812	0.001748251748251748	0.0011125238397965672	0.0017482517482517483	0.00047679593134138587	0.001589319771137953	0.0006357279084551812	0.0027018436109345206	0.0012714558169103624	0.0	0.0009535918626827718	0.0017482517482517483	0.0007946598855689765	0.0012714558169103624	0.0003178639542275906	0.0006357279084551812	0.0006357279084551812	0.0014303877940241576	0.0006357279084551812	0.0001589319771137953	0.00047679593134138587	0.0003178639542275906	0.0003178639542275906	0.0009535918626827718	0.0011125238397965672	0.0003178639542275906	0.0	0.0006357279084551812	0.0011125238397965672	0.0	0.0003178639542275906	0.0001589319771137953	0.0003178639542275906	0.0003178639542275906	0.0003178639542275906	0.0001589319771137953	0.0001589319771137953	0.0003178639542275906	0.0	0.0003178639542275906	0.0	0.0001589319771137953	0.0	0.0	0.00047679593134138587	0.0006357279084551812	0.0003178639542275906	0.0	0.0	0.0	0.0	0.0001589319771137953	0.0	0.0001589319771137953	0.0	0.0001589319771137953	0.0001589319771137953	0.0	0.0001589319771137953	0.0001589319771137953	0.0001589319771137953	0.0	0.0	0.0	0.0	0.0001589319771137953	0.0001589319771137953	0.0	0.0	0.0003178639542275906	0.0001589319771137953	0.0001589319771137953	0.0	0.0001589319771137953	0.0	0.0	0.0	0.0001589319771137953	0.0	0.0	0.0001589319771137953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001589319771137953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S3S202009a	0.25574177529484776	0.1135940409683426	0.12228429546865296	0.07200496585971443	0.052141527001862184	0.018001241464928614	0.050279329608938536	0.03165735567970205	0.0074487895716946004	0.04220980757293605	0.042830540037243944	0.04841713221601488	0.014276846679081313	0.018621973929236497	0.0031036623215394167	0.012414649286157667	0.007448789571694601	0.004965859714463066	0.005586592178770951	0.002482929857231533	0.0074487895716946004	0.004965859714463066	0.00186219739292365	0.004965859714463066	0.00186219739292365	0.004345127250155183	0.009931719428926133	0.0006207324643078833	0.002482929857231533	0.0	0.0037243947858473002	0.002482929857231533	0.0006207324643078833	0.0	0.00558659217877095	0.0006207324643078833	0.00186219739292365	0.002482929857231533	0.0006207324643078833	0.0012414649286157666	0.0	0.0031036623215394167	0.0006207324643078833	0.0012414649286157666	0.0	0.0	0.0	0.0006207324643078833	0.0	0.0006207324643078833	0.0	0.0	0.0	0.0012414649286157666	0.0006207324643078833	0.0	0.0012414649286157666	0.0	0.0	0.0	0.0	0.0012414649286157666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002482929857231533	0.0	0.0006207324643078833	0.0006207324643078833	0.0	0.0	0.0	0.0	0.0	0.0	0.0006207324643078833	0.0	0.0	0.0	0.0	0.0006207324643078833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012414649286157666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S3S202009b	0.26095617529880466	0.13545816733067723	0.0876494023904382	0.07370517928286852	0.057768924302788835	0.01195219123505976	0.03187250996015936	0.019920318725099598	0.013944223107569721	0.05577689243027886	0.03984063745019919	0.07171314741035854	0.013944223107569721	0.013944223107569721	0.01195219123505976	0.019920318725099598	0.00398406374501992	0.013944223107569721	0.00398406374501992	0.00398406374501992	0.00398406374501992	0.00398406374501992	0.0	0.0	0.0	0.00597609561752988	0.00398406374501992	0.00398406374501992	0.0	0.0	0.00398406374501992	0.00199203187250996	0.00199203187250996	0.0	0.0	0.0	0.00199203187250996	0.00199203187250996	0.0	0.00398406374501992	0.0	0.00398406374501992	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
