	S1S202009a	S1S202009b	S1U202009a	S1U202009b	S2S202009a	S2S202009b	S2U202009a	S2U202009b	S3S202009a	S3S202009b	S3U202009a	S3U202009b	S4S202009a	S4S202009b	S4U202009a	S4U202009b	S5S202009a	S5S202009b	S5U202009a	S5U202009b	S6S202009a	S6S202009b	S6U202009a	S6U202009b	S7S202009a	S7S202009b	S7U202009a	S7U202009b	S8S202009a	S8S202009b	S8U202009a	S8U202009b	soils1202009a	soils1202009b	soils2202009a	soils2202009b	soils3202009a	soils3202009b	soils4202009a	soils4202009b	soils5202009a	soils5202009b	soils6202009a	soils6202009b	soils7202009a	soils7202009b	soils8202009a	soils8202009b
Vicinamibacterales_family	0.07262103505843066	0.08108108108108106	0.07771056305258267	0.11428571428571428	0.06629560233660309	0.05111173921236106	0.08159633960345714	0.09122695486331842	0.07200496585971446	0.047808764940239036	0.07421451787648976	0.09787600459242242	0.0136986301369863	0.06611893583724572	0.08531109685695962	0.06747709654686404	0.08053691275167785	0.07936507936507936	0.10621761658031091	0.08597285067873307	0.07835531419705205	0.06813444502344972	0.07852193995381052	0.06587615283267456	0.06906906906906908	0.08273748723186931	0.059394409937888144	0.06487409304310708	0.06342668863261945	0.055826936496859755	0.06322067594433396	0.06260053619302954	0.051570876026328316	0.04718665704190579	0.04227984115860764	0.03412462908011862	0.04787657145008761	0.04938938617369785	0.04303542799660483	0.036382191000569754	0.04840676178864479	0.04921521681298224	0.03924483425003725	0.033634160608339576	0.037830939608929165	0.03407263184627128	0.040959718950856164	0.034481094016151306
Chthoniobacteraceae	0.03505843071786309	0.03685503685503687	0.10190786412284787	0.05714285714285714	0.05108563870825524	0.043574524213303205	0.09633960345704123	0.10108073744437379	0.04593420235878336	0.05378486055776892	0.08748645720476708	0.12456946039035588	0.0547945205479452	0.08489827856025041	0.10711994868505453	0.07751937984496135	0.046979865771812075	0.03607503607503607	0.06606217616580311	0.06787330316742084	0.05249547452805794	0.05758207399687337	0.08221709006928402	0.09222661396574436	0.019019019019019017	0.04290091930541368	0.0590062111801242	0.06572769953051642	0.037479406919275135	0.05129099790648989	0.08489065606361827	0.07747989276139407	0.04770306032435368	0.04338740929296007	0.04372810091100204	0.04861903674960046	0.05821248876274916	0.05546875380264708	0.0506114237213542	0.04480729067780532	0.0333805648004746	0.03931896781058797	0.04392745651850758	0.0374780646778641	0.03899896175808986	0.03337424870904949	0.03505129945307187	0.03756370382119508
Xanthobacteraceae	0.06928213689482468	0.051597051597051614	0.03489995346672873	0.0	0.06954700760498178	0.06693989071038255	0.03533299440772752	0.03337571519389699	0.08876474239602729	0.10358565737051792	0.037784398699891676	0.03329506314580943	0.0273972602739726	0.033646322378716745	0.023733162283515075	0.029950669485553198	0.040268456375838924	0.07792207792207789	0.01683937823834197	0.029411764705882353	0.04913369537108872	0.04025534132360607	0.035103926096997695	0.03689064558629775	0.03903903903903903	0.051072522982635336	0.047360248447204926	0.04268032437046522	0.0554640307523339	0.05582693649685974	0.04393638170974154	0.042627345844504054	0.07864558594015067	0.07484518065423014	0.05255781359495429	0.06077379593700057	0.07195605823131734	0.06825538211429637	0.06422306749237706	0.06507499525346529	0.05005437110752311	0.04160681032189417	0.05076557157722615	0.06446895629648194	0.0719631424121818	0.07072716498772583	0.07668968821110643	0.0826925596695341
Sphingomonadaceae	0.019198664440734557	0.01597051597051597	0.04141461144718474	0.02857142857142857	0.031026121459274775	0.035566233276804235	0.06151499745805798	0.05197075651621101	0.03600248292985723	0.03386454183266932	0.09439328277356449	0.0766360505166475	0.0273972602739726	0.05790297339593113	0.0359204618345093	0.05285412262156447	0.026845637583892617	0.025974025974025976	0.08160621761658032	0.08597285067873306	0.031031807602792855	0.029051589369463254	0.07990762124711304	0.06587615283267455	0.03603603603603603	0.035750766087844735	0.12461180124223593	0.11929150661545021	0.04420647995606811	0.04396371249127704	0.09145129224652083	0.08967828418230553	0.013571283164823238	0.017970441852513227	0.022891847699135735	0.022768774252453737	0.02179202967104854	0.022102808969622675	0.019018578479142463	0.01931839756977405	0.023033578277918715	0.021229050279329618	0.023338784004756936	0.022582936408456565	0.025090846167156934	0.02823160924405316	0.024671643578585988	0.026702159206107474
Vicinamibacteraceae	0.03923205342237061	0.052825552825552846	0.03164262447650069	0.08571428571428572	0.050038575994709567	0.04154889768230641	0.03812913065582108	0.04720279720279718	0.03972687771570453	0.03187250996015936	0.026814734561213423	0.038748564867967863	0.0273972602739726	0.03247261345852895	0.03207184092366903	0.025369978858350944	0.06040268456375839	0.04906204906204906	0.04533678756476683	0.027149321266968323	0.050168088957848495	0.05380406461698803	0.03648960739030024	0.03162055335968379	0.06306306306306306	0.0704800817160368	0.018051242236024848	0.025608194622279135	0.06452498627127953	0.049895324494068416	0.025646123260437366	0.021313672922252034	0.021306914568772484	0.02055393032179631	0.02247138519037611	0.013410180324126922	0.0197163741451452	0.02037488622480522	0.01505768444877557	0.016968862730206924	0.020595116485978816	0.024527799946794368	0.023636093355136004	0.015041363750313343	0.021478629520678305	0.01915262846017098	0.023953052018044655	0.01750260332259837
Pyrinomonadaceae	0.011686143572621035	0.011056511056511056	0.059097254536993965	0.14285714285714285	0.013005621073514818	0.015451290748068594	0.04956786985256739	0.042275905912269526	0.020484171322160148	0.0099601593625498	0.04699349945828819	0.049942594718714144	0.0	0.0653364632237872	0.03848620910840282	0.03840732910500352	0.006711409395973154	0.01875901875901876	0.06476683937823835	0.05656108597285067	0.03465218515645205	0.02813965607087024	0.0535796766743649	0.05270092226613964	0.013013013013013013	0.009193054136874362	0.01766304347826087	0.01941954758856167	0.008923668314113129	0.016050244242847175	0.02266401590457256	0.020241286863270785	0.039356721177987386	0.03012803464913951	0.025788367203924335	0.03555124400821724	0.044967829692699225	0.04002939902360225	0.026971802206783847	0.027553635845832494	0.03133752924506539	0.03160415003990425	0.03329864724245584	0.03520096933233056	0.024268904654784554	0.02029543723017013	0.028304523134656104	0.03266738847090176
Bacillales_unclassified	0.00667779632721202	0.0036855036855036856	0.009306654257794323	0.0	0.012619861126419041	0.008714904842660638	0.015251652262328419	0.017323585505403687	0.00558659217877095	0.00199203187250996	0.0065005417118093175	0.005453501722158437	0.0136986301369863	0.00782472613458529	0.007055805003207184	0.013918252290345315	0.006711409395973154	0.0	0.006476683937823834	0.006787330316742082	0.001034393586759762	0.0033871808233454925	0.005542725173210162	0.006587615283267458	0.003003003003003003	0.006128702757916241	0.0029114906832298135	0.0021340162185232605	0.005216913783635365	0.00418702023726448	0.004771371769383697	0.006702412868632708	0.05292800434281063	0.04863037118650513	0.07643074048119615	0.09255877653503758	0.0465869351369413	0.046381340381311476	0.06375153248876188	0.06267799506360386	0.030810294263024333	0.027294493216280937	0.052846737029879666	0.07560374362831115	0.03917200207648404	0.034897993735715054	0.054413349834324554	0.04828042784141508
Bacteria_unclassified	0.007512520868113523	0.011056511056511056	0.028850628199162377	0.05714285714285714	0.00810095888901135	0.008997550405125315	0.023640061006609037	0.01859504132231403	0.014276846679081313	0.013944223107569721	0.0395449620801734	0.033869115958668226	0.0	0.03482003129890451	0.04041051956382299	0.04157857646229737	0.013422818791946308	0.017316017316017316	0.024611398963730574	0.03619909502262443	0.025084044478924216	0.021495570609692524	0.025404157043879914	0.030303030303030307	0.008008008008008008	0.01634320735444331	0.020768633540372686	0.02731540759709771	0.013454146073585945	0.011863224005582691	0.028230616302186866	0.029758713136729287	0.020085499083938405	0.020211998024391286	0.015977575332866204	0.021741611504222668	0.018878581211787114	0.019416010786132355	0.020338876489264874	0.02026770457565965	0.01716808910271187	0.019952114924181988	0.019102125761855188	0.016587281691317752	0.01617926976985635	0.015618386523321617	0.016367918878997224	0.015150992710696568
Chitinophagaceae	0.03923205342237061	0.028255528255528253	0.009306654257794325	0.0	0.02579080789154635	0.03504804974561901	0.023894255210981177	0.025429116338207196	0.028553693358162623	0.03386454183266932	0.01421993499458286	0.015212399540757739	0.0136986301369863	0.017996870109546165	0.013470173187940986	0.018675123326286108	0.013422818791946308	0.03751803751803752	0.02202072538860104	0.015837104072398193	0.020946470131885178	0.025794684731631042	0.015242494226327952	0.019762845849802375	0.03303303303303303	0.03370786516853934	0.018245341614906846	0.021553563807084935	0.0286930258099945	0.03035589672016749	0.020278330019880705	0.020107238605898147	0.011942729185044451	0.011815660499221137	0.010745153001635145	0.012611275964391707	0.01244451975167438	0.01174013988873144	0.009304957404671339	0.009730396810328485	0.013905822651332883	0.014684756584197892	0.016426341608443567	0.017193114397927613	0.019315625540750968	0.02012613222720728	0.013014491596470933	0.01697159447474968
Gemmatimonadaceae	0.02003338898163606	0.01597051597051597	0.011633317822242908	0.02857142857142857	0.024523310922517375	0.02463727152817031	0.022114895780376197	0.01986649713922438	0.018621973929236497	0.013944223107569721	0.018553629469122424	0.0169345579793341	0.0410958904109589	0.016040688575899846	0.03399615137908917	0.024312896405919646	0.006711409395973154	0.012987012987012988	0.0116580310880829	0.020361990950226245	0.024308249288854392	0.01784783741532046	0.01662817551963049	0.025032938076416343	0.01001001001001001	0.0071501532175689475	0.013781055900621127	0.013657703798548877	0.01798462383305875	0.015352407536636423	0.018687872763419475	0.012332439678284174	0.0171676732035014	0.016982637437787346	0.01831347815930859	0.015179182834969215	0.018567938888182735	0.018238102886848028	0.020558926157618545	0.021454338333016826	0.013938774837710444	0.011492418196328779	0.017987215697933684	0.015856104286788648	0.012978023879563925	0.01392533649369335	0.01453151822428043	0.015364775493596801
