	S1S202009a	S1S202009b	S1U202009a	S1U202009b	S2S202009a	S2S202009b	S2U202009a	S2U202009b	S3S202009a	S3S202009b	S3U202009a	S3U202009b	S4S202009a	S4S202009b	S4U202009a	S4U202009b	S5S202009a	S5S202009b	S5U202009a	S5U202009b	S6S202009a	S6S202009b	S6U202009a	S6U202009b	S7S202009a	S7S202009b	S7U202009a	S7U202009b	S8S202009a	S8S202009b	S8U202009a	S8U202009b	soils1202009a	soils1202009b	soils2202009a	soils2202009b	soils3202009a	soils3202009b	soils4202009a	soils4202009b	soils5202009a	soils5202009b	soils6202009a	soils6202009b	soils7202009a	soils7202009b	soils8202009a	soils8202009b
Vicinamibacterales_genus	0.07262103505843066	0.08108108108108106	0.07771056305258267	0.11428571428571428	0.06629560233660309	0.05111173921236106	0.08159633960345714	0.09122695486331842	0.07200496585971446	0.047808764940239036	0.07421451787648976	0.09787600459242242	0.0136986301369863	0.06611893583724572	0.08531109685695962	0.06747709654686404	0.08053691275167785	0.07936507936507936	0.10621761658031091	0.08597285067873307	0.07835531419705205	0.06813444502344972	0.07852193995381052	0.06587615283267456	0.06906906906906908	0.08273748723186931	0.059394409937888144	0.06487409304310708	0.06342668863261945	0.055826936496859755	0.06322067594433396	0.06260053619302954	0.051570876026328316	0.04718665704190579	0.04227984115860764	0.03412462908011862	0.04787657145008761	0.04938938617369785	0.04303542799660483	0.036382191000569754	0.04840676178864479	0.04921521681298224	0.03924483425003725	0.033634160608339576	0.037830939608929165	0.03407263184627128	0.040959718950856164	0.034481094016151306
Candidatus_Udaeobacter	0.03338898163606009	0.03562653562653564	0.09585853885528153	0.05714285714285714	0.047228039237297466	0.0411249293386094	0.0912557193695984	0.09631277813095995	0.045313469894475475	0.04780876494023904	0.08545503791982666	0.12198622273249138	0.0547945205479452	0.08450704225352114	0.10583707504810777	0.07558139534883726	0.040268456375838924	0.03463203463203463	0.059585492227979264	0.0656108597285068	0.05146108094129818	0.05667014069828035	0.07898383371824477	0.08432147562582343	0.019019019019019017	0.03268641470888662	0.05706521739130434	0.06124626547161759	0.03583196046128502	0.04884856943475227	0.08210735586481112	0.0730563002680965	0.04519237293886138	0.04106986816610315	0.04111188974538657	0.04559461310203145	0.05605211260313554	0.053108070616065435	0.04784508503347894	0.04210176571103101	0.031238672685932705	0.037084330939079556	0.03969079827560579	0.03478315367259963	0.0353218549922133	0.030051638025903653	0.03197732444408955	0.034356962077692975
Sphingomonas	0.010851419031719533	0.013513513513513513	0.037691949744067	0.0	0.023145596825746722	0.029206708121349158	0.056939501779359435	0.04545454545454543	0.025450031036623216	0.025896414342629473	0.08680931744312026	0.06659012629161881	0.0273972602739726	0.046948356807511735	0.02822322001282874	0.045806906272022545	0.026845637583892617	0.024531024531024532	0.07772020725388602	0.08371040723981903	0.022756658908714762	0.024882751433038038	0.06697459584295609	0.054018445322793145	0.028028028028028028	0.02042900919305414	0.0962732919254658	0.08856167306871529	0.03294892915980231	0.038032100488485696	0.07574552683896618	0.07372654155495972	0.01194272918504445	0.015424945860719573	0.019341275402943243	0.019287833827893154	0.019433972032777445	0.019951423467624584	0.016377982458897874	0.01637554585152838	0.017860085016640843	0.015908486299547754	0.018656161736286602	0.01811230884933566	0.018515314068177878	0.020549394734614413	0.020280250708611124	0.02226099429682709
RB41	0.011686143572621035	0.011056511056511056	0.05863192182410425	0.14285714285714285	0.013005621073514818	0.015451290748068594	0.04931367564819525	0.042275905912269526	0.020484171322160148	0.0099601593625498	0.04699349945828819	0.04965556831228475	0.0	0.0653364632237872	0.03848620910840282	0.03840732910500352	0.006711409395973154	0.01875901875901876	0.06476683937823835	0.05656108597285067	0.03465218515645205	0.02813965607087024	0.0535796766743649	0.05270092226613964	0.013013013013013013	0.009193054136874362	0.01766304347826087	0.01941954758856167	0.008923668314113129	0.016050244242847175	0.02266401590457256	0.020241286863270785	0.039356721177987386	0.03012803464913951	0.025741649147395487	0.03555124400821724	0.04491605597209847	0.03999045991949368	0.026940366539876172	0.027553635845832494	0.03130457705868782	0.03155094440010643	0.03329864724245584	0.03520096933233056	0.024225644575186008	0.02029543723017013	0.028304523134656104	0.03259842628286944
Vicinamibacteraceae_ge	0.024207011686143573	0.038083538083538086	0.024197301070265232	0.0	0.03356111539733274	0.028311663840211033	0.03329944077275039	0.03782581055308327	0.021725636250775913	0.02390438247011952	0.02126218851570964	0.029850746268656726	0.0136986301369863	0.021909233176838808	0.02245028864656832	0.01444679351656096	0.06040268456375839	0.030303030303030307	0.03626943005181346	0.01583710407239819	0.02792862684251357	0.024491922876498175	0.02586605080831409	0.028985507246376815	0.030030030030030026	0.049029622063329927	0.013198757763975158	0.01856594110115237	0.04022515101592531	0.03489183531053735	0.01809145129224652	0.014477211796246645	0.016828391124380813	0.016754682572850586	0.017098808689558525	0.01067107966217759	0.01551328937273783	0.016115921712931212	0.01178837509037754	0.012293525726219869	0.016113619138629836	0.019739292364990686	0.018656161736286595	0.01111389654884264	0.01576829901367018	0.013904173368323025	0.01764541498662622	0.013661409449198988
Bacillales_unclassified	0.00667779632721202	0.0036855036855036856	0.009306654257794323	0.0	0.012619861126419041	0.008714904842660638	0.015251652262328419	0.017323585505403687	0.00558659217877095	0.00199203187250996	0.0065005417118093175	0.005453501722158437	0.0136986301369863	0.00782472613458529	0.007055805003207184	0.013918252290345315	0.006711409395973154	0.0	0.006476683937823834	0.006787330316742082	0.001034393586759762	0.0033871808233454925	0.005542725173210162	0.006587615283267458	0.003003003003003003	0.006128702757916241	0.0029114906832298135	0.0021340162185232605	0.005216913783635365	0.00418702023726448	0.004771371769383697	0.006702412868632708	0.05292800434281063	0.04863037118650513	0.07643074048119615	0.09255877653503758	0.0465869351369413	0.046381340381311476	0.06375153248876188	0.06267799506360386	0.030810294263024333	0.027294493216280937	0.052846737029879666	0.07560374362831115	0.03917200207648404	0.034897993735715054	0.054413349834324554	0.04828042784141508
Bradyrhizobium	0.04424040066777963	0.03562653562653563	0.0144253140995812	0.0	0.04281935412763144	0.038957980026380255	0.013218098627351297	0.014780673871582963	0.05462445685909373	0.07171314741035857	0.015167930660888408	0.011481056257175661	0.0136986301369863	0.017214397496087636	0.007055805003207184	0.011804087385482734	0.03355704697986577	0.050505050505050504	0.0038860103626943004	0.00904977375565611	0.0312904059994828	0.02553413236060448	0.011085450346420323	0.00922266139657444	0.024024024024024024	0.024514811031664963	0.020380434782608696	0.023687580025608196	0.040087863811092805	0.03942777390090719	0.018886679920477135	0.016890080428954422	0.018185519440863135	0.01945214847460203	0.0145760336370007	0.015179182834969185	0.01837496411139822	0.017722159757409383	0.015749269120744397	0.014832921966964115	0.010182225590667941	0.008353285448257515	0.01323026609186859	0.0159605582017214	0.018536944107977158	0.019110302209430288	0.02103876402251587	0.021212769038736062
Bacteria_unclassified	0.007512520868113523	0.011056511056511056	0.028850628199162377	0.05714285714285714	0.00810095888901135	0.008997550405125315	0.023640061006609037	0.01859504132231403	0.014276846679081313	0.013944223107569721	0.0395449620801734	0.033869115958668226	0.0	0.03482003129890451	0.04041051956382299	0.04157857646229737	0.013422818791946308	0.017316017316017316	0.024611398963730574	0.03619909502262443	0.025084044478924216	0.021495570609692524	0.025404157043879914	0.030303030303030307	0.008008008008008008	0.01634320735444331	0.020768633540372686	0.02731540759709771	0.013454146073585945	0.011863224005582691	0.028230616302186866	0.029758713136729287	0.020085499083938405	0.020211998024391286	0.015977575332866204	0.021741611504222668	0.018878581211787114	0.019416010786132355	0.020338876489264874	0.02026770457565965	0.01716808910271187	0.019952114924181988	0.019102125761855188	0.016587281691317752	0.01617926976985635	0.015618386523321617	0.016367918878997224	0.015150992710696568
Acidibacter	0.04257095158597662	0.05159705159705161	0.00837598883201489	0.0	0.03201807560894962	0.030478613152440173	0.004575495678698526	0.006198347107438017	0.02296710117939168	0.039840637450199196	0.008261105092091006	0.006888633754305395	0.0410958904109589	0.006259780907668233	0.01603592046183451	0.009689922480620155	0.03355704697986577	0.03751803751803752	0.006476683937823835	0.004524886877828055	0.019136281355055598	0.026836894215737362	0.004618937644341802	0.005270092226613966	0.022022022022022025	0.02042900919305414	0.003105590062111801	0.0034144259496372174	0.0356946732564525	0.031402651779483606	0.003976143141153082	0.0042895442359249325	0.008074913483069825	0.008168382660233273	0.006914272366269565	0.00650536407212965	0.0076766307545313855	0.007232938588165437	0.0072616390556725675	0.007689386747674196	0.005898441361584341	0.004788507581803671	0.010777463951241264	0.00841898554357817	0.009171136874891848	0.006941505121476342	0.008822707493313106	0.009337480259573672
Xanthobacteraceae_genus	0.01001669449081803	0.004914004914004914	0.014890646812470917	0.0	0.009313347294169513	0.008950442811381194	0.00864260294865277	0.007628734901462176	0.014276846679081315	0.0199203187250996	0.009750812567713974	0.008323765786452355	0.0	0.006651017214397496	0.0032071840923669015	0.007399577167019026	0.006711409395973154	0.011544011544011544	0.0025906735751295338	0.006787330316742082	0.0095681406775278	0.004038561750911933	0.009237875288683603	0.010540184453227932	0.006006006006006006	0.008171603677221655	0.011645962732919256	0.008322663252240717	0.006177924217462932	0.00732728541521284	0.012127236580516898	0.011394101876675604	0.03304607450634458	0.03058394437901296	0.020836253211866388	0.024366582971924216	0.028955629921445142	0.028693252339996797	0.029549526893213034	0.028384279475982526	0.02276996078689821	0.017132216014897582	0.02110896387691393	0.026573075958886937	0.026951029589894444	0.026348091086091593	0.028703740668290154	0.031467446399139384
