	S1S202009a	S1S202009b	S1U202009a	S1U202009b	S2S202009a	S2S202009b	S2U202009a	S2U202009b	S3S202009a	S3S202009b	S3U202009a	S3U202009b	S4S202009a	S4S202009b	S4U202009a	S4U202009b	S5S202009a	S5S202009b	S5U202009a	S5U202009b	S6S202009a	S6S202009b	S6U202009a	S6U202009b	S7S202009a	S7S202009b	S7U202009a	S7U202009b	S8S202009a	S8S202009b	S8U202009a	S8U202009b	soils1202009a	soils1202009b	soils2202009a	soils2202009b	soils3202009a	soils3202009b	soils4202009a	soils4202009b	soils5202009a	soils5202009b	soils6202009a	soils6202009b	soils7202009a	soils7202009b	soils8202009a	soils8202009b
Proteobacteria	0.38647746243739484	0.37100737100737075	0.31409958120055903	0.2571428571428572	0.338201256475254	0.3410589787073662	0.2874936451448887	0.2784488239033726	0.36933581626319034	0.3964143426294819	0.3449349945828762	0.2772675086107931	0.4246575342465753	0.2812989045383422	0.237973059653623	0.2693798449612417	0.355704697986577	0.38961038961039074	0.33937823834196945	0.3665158371040719	0.2803206620118957	0.3122720166753536	0.30623556581986	0.2885375494071153	0.3553553553553543	0.29928498467824277	0.420419254658383	0.3969270166453308	0.36710598572213177	0.3778785764131179	0.3427435387674004	0.3495978552278887	0.24068670692813224	0.2507503514304125	0.2141088530717075	0.21439169139466585	0.24147263288197618	0.23744092207796152	0.20675238125176343	0.2043383330168887	0.3271163541700899	0.3057196062782708	0.23717853426490507	0.24151834210747786	0.31445751860182625	0.3207483281131079	0.2638029462254002	0.27284889694981024
Acidobacteriota	0.1794657762938228	0.20024570024570054	0.2345276872964161	0.4000000000000001	0.19260443072853645	0.17566421707179133	0.24783934926283763	0.260966306420854	0.20794537554314077	0.15139442231075687	0.22142470205850256	0.2698048220436289	0.0821917808219178	0.23904538341158138	0.23091725465041604	0.21758280479210682	0.23489932885906026	0.2049062049062047	0.29015544041450814	0.2511312217194568	0.22498060512024756	0.21834288692027054	0.241108545034641	0.223978919631094	0.21721721721721746	0.2308478038815121	0.1579968944099373	0.17242851045667879	0.20345963756177882	0.17515701325889763	0.1827037773359857	0.17439678284182203	0.1703874601343515	0.1531476767599993	0.13907965428637964	0.12999315224834568	0.16534643679135572	0.1607746934762268	0.1364936657131161	0.13420827795708823	0.14587932909348278	0.15206171854216646	0.1467221644120719	0.12599231219186133	0.1271197439003282	0.11406924574621337	0.134815761108226	0.12708352010592874
Actinobacteriota	0.12270450751252066	0.09950859950859944	0.05816658911121457	0.02857142857142857	0.12603328557257817	0.13289052195213835	0.05439755973563816	0.05117609663064191	0.09124767225325879	0.0936254980079681	0.06351570964247032	0.04247990815154999	0.0410958904109589	0.07511737089201884	0.07825529185375245	0.09284707540521549	0.1342281879194631	0.09956709956709948	0.04015544041450776	0.0429864253393665	0.1569692267907937	0.12389265242313689	0.08498845265588895	0.0816864295125164	0.10110110110110117	0.0929519918283964	0.08423913043478229	0.07511737089201867	0.11285008237232311	0.09979064898813664	0.08667992047713712	0.10201072386058938	0.17995521476555057	0.19615516127806323	0.20668068208362134	0.19601689112075482	0.17943830219851165	0.19238351123634748	0.2238219483826308	0.22776248338711844	0.20713744356937625	0.20164937483373382	0.1991972647539786	0.2034553355059872	0.19508132894964214	0.21167357995428113	0.2254381412431579	0.2169826284248408
Verrucomicrobiota	0.0475792988313856	0.04422604422604425	0.11354118194509082	0.05714285714285714	0.05692714647856272	0.05280761258714912	0.11133706151499764	0.11665607120152563	0.054624456859093715	0.05976095617529879	0.09804983748645728	0.13461538461538444	0.0547945205479452	0.09585289514866993	0.11417575368826173	0.08861874559549006	0.06711409395973154	0.0404040404040404	0.08419689119170988	0.08597285067873309	0.06258081199896565	0.06683168316831684	0.09284064665127002	0.10276679841897227	0.032032032032032025	0.054136874361593444	0.07259316770186318	0.08279982927870239	0.04873695771554092	0.06001395673412424	0.09801192842942343	0.09410187667560291	0.058763656103684635	0.05360738573762417	0.05101611772950215	0.05552385300159763	0.06780474717951171	0.06457076938802409	0.05887900411807217	0.05327985570533544	0.04267308135894855	0.050598563447725634	0.054407611119369995	0.0466491184089579	0.05232306627444286	0.0462837551849663	0.04479220727374301	0.04745977780383112
Firmicutes	0.037562604340567594	0.02334152334152334	0.02373196835737551	0.02857142857142857	0.04562989088504351	0.04121914452609767	0.04245043213014751	0.04005085823267634	0.01924270639354438	0.01593625498007968	0.022210184182015175	0.014351320321469569	0.0136986301369863	0.02934272300469482	0.032071840923669034	0.04122621564482027	0.026845637583892617	0.011544011544011544	0.015544041450777198	0.015837104072398193	0.011119731057667438	0.02136529442417924	0.02078521939953811	0.02371541501976285	0.01001001001001001	0.011235955056179775	0.009316770186335407	0.010029876227059331	0.022652388797364077	0.021632937892533153	0.010536779324055666	0.016085790884718495	0.14344846305217912	0.1343793928802081	0.19458070544265146	0.20509016206345967	0.13140640958661778	0.13132212860611517	0.17006695797051072	0.177995063603564	0.08999242099713384	0.08188347964884189	0.1396610673405684	0.18097685301245672	0.10159629693718575	0.0955515110471526	0.13297936045350947	0.11496686366865273
Planctomycetota	0.053422370617696086	0.06388206388206391	0.06561191251745005	0.02857142857142857	0.058359969139204174	0.05874316939890715	0.06405693950177958	0.056420851875397075	0.05772811918063313	0.04581673306772907	0.05687973997833167	0.06917336394948342	0.0547945205479452	0.062206572769952964	0.07761385503527911	0.06694855532064839	0.03355704697986577	0.04906204906204904	0.060880829015544	0.06787330316742081	0.051202482544608276	0.05588848358520064	0.06189376443418018	0.07641633728590243	0.05505505505505502	0.07354443309499491	0.07550465838509271	0.08258642765685005	0.063289401427787	0.06559665038381024	0.08846918489065599	0.0825737265415546	0.04621021917622317	0.04342540177044989	0.03975706610604959	0.037890892490298644	0.042176755482129846	0.04334895764885858	0.036779730281977834	0.033035883804822475	0.0338089432233828	0.04341580207502021	0.04846142411178888	0.03507562463441117	0.0409672953798247	0.04012528570219328	0.037167152381332315	0.04421855496631415
Bacteroidota	0.0592654424040066	0.06265356265356269	0.0172173103769195	0.0	0.03989860024247765	0.04894478990013194	0.03863751906456539	0.04481881754609014	0.04220980757293605	0.05577689243027886	0.021668472372697728	0.018943742824339842	0.0547945205479452	0.02503912363067292	0.01731879409878127	0.024489076814658187	0.026845637583892617	0.05483405483405481	0.02849740932642488	0.03619909502262443	0.03335919317300234	0.037519541427827	0.02540415704387992	0.026350461133069835	0.05105105105105105	0.05107252298263533	0.03571428571428567	0.03670507895860009	0.04365733113673807	0.049197487787857694	0.03260437375745525	0.034852546916890166	0.01567483205537085	0.016298772842977084	0.01751927119831818	0.018603058662405792	0.017753679464188883	0.016743814766681846	0.013360158435761197	0.014168407062844196	0.02903087619863564	0.029635541367384964	0.02237252861602494	0.022374028578591082	0.04010209378785325	0.0398501650723784	0.023713521497864255	0.027812450433427886
Myxococcota	0.02921535893155259	0.05159705159705165	0.014425314099581206	0.0	0.049156838972776305	0.054880346711889995	0.01194712760549059	0.016052129688493327	0.056486654252017356	0.07569721115537846	0.017063921993499456	0.01291618828932261	0.0821917808219178	0.02425665101721438	0.029506093649775515	0.021317829457364327	0.026845637583892617	0.04329004329004329	0.009067357512953369	0.013574660633484165	0.0426687354538402	0.0419489317352788	0.010623556581986146	0.0158102766798419	0.09609609609609615	0.08886618998978557	0.010675465838509323	0.012163892445582596	0.04503020318506316	0.05059316120027917	0.01451292246520874	0.01689008042895443	0.024971161023274777	0.028190418297177288	0.02163046017285686	0.01945902761926494	0.019782267971364148	0.02098817711451522	0.018264122473358353	0.017490981583444084	0.019606550894651766	0.021016227720138378	0.02653485952133191	0.02099523690147902	0.023663263540404877	0.02636925421146185	0.025150704618946945	0.026095291951423627
Chloroflexi	0.007512520868113522	0.009828009828009828	0.015355979525360641	0.02857142857142857	0.016367243469635185	0.018560391935179936	0.02440264361972545	0.021614748887476127	0.016759776536312845	0.01593625498007968	0.012730227518959896	0.01980482204362802	0.0821917808219178	0.018388106416275432	0.02629890955740861	0.025017618040873834	0.0	0.015873015873015872	0.009067357512953369	0.00904977375565611	0.014740108611326602	0.011985409067222503	0.025866050808314105	0.019762845849802372	0.013013013013013013	0.018386108273748727	0.020186335403726725	0.017712334613743077	0.015650741350906102	0.020237264480111664	0.019284294234592433	0.019034852546916902	0.02748184840876708	0.02929220014437161	0.03232889511796311	0.031043140835425524	0.03260332387286217	0.03376507065013754	0.03511363993587115	0.03510062654262415	0.02659241440669572	0.032668262835860676	0.037460978147762926	0.03309100025068931	0.023922824017996155	0.025332261068314398	0.030300610802826585	0.035784479369962444
Bacteria_unclassified	0.007512520868113523	0.011056511056511056	0.028850628199162377	0.05714285714285714	0.00810095888901135	0.008997550405125315	0.023640061006609037	0.01859504132231403	0.014276846679081313	0.013944223107569721	0.0395449620801734	0.033869115958668226	0.0	0.03482003129890451	0.04041051956382299	0.04157857646229737	0.013422818791946308	0.017316017316017316	0.024611398963730574	0.03619909502262443	0.025084044478924216	0.021495570609692524	0.025404157043879914	0.030303030303030307	0.008008008008008008	0.01634320735444331	0.020768633540372686	0.02731540759709771	0.013454146073585945	0.011863224005582691	0.028230616302186866	0.029758713136729287	0.020085499083938405	0.020211998024391286	0.015977575332866204	0.021741611504222668	0.018878581211787114	0.019416010786132355	0.020338876489264874	0.02026770457565965	0.01716808910271187	0.019952114924181988	0.019102125761855188	0.016587281691317752	0.01617926976985635	0.015618386523321617	0.016367918878997224	0.015150992710696568
