	Proteobacteria	Acidobacteriota	Actinobacteriota	Verrucomicrobiota	Firmicutes	Planctomycetota	Bacteroidota	Myxococcota	Chloroflexi	Bacteria_unclassified	Gemmatimonadota	Crenarchaeota	Methylomirabilota	Dependentiae	Nitrospirota	Desulfobacterota	Armatimonadota	Bdellovibrionota	RCP2-54	Latescibacterota	Entotheonellaeota	NB1-j	Cyanobacteria	Sumerlaeota	Patescibacteria	Elusimicrobiota	MBNT15	Abditibacteriota	Fibrobacterota	WPS-2	Nitrospinota	WS2	Nanoarchaeota	Spirochaetota	Thermoplasmatota	SAR324_clade(Marine_group_B)	Hydrogenedentes	GAL15	Deinococcota	Fusobacteriota	FCPU426	Archaea_unclassified	WS4	Euryarchaeota	Margulisbacteria	Halanaerobiaeota	Halobacterota	TA06
S1S202009a	0.38647746243739484	0.1794657762938228	0.12270450751252066	0.0475792988313856	0.037562604340567594	0.053422370617696086	0.0592654424040066	0.02921535893155259	0.007512520868113522	0.007512520868113523	0.02003338898163606	0.005008347245409015	0.010851419031719533	0.005843071786310518	0.008347245409015025	0.005843071786310518	0.0	0.005008347245409015	0.0008347245409015025	0.0025041736227045075	0.0	0.0025041736227045075	0.0	0.0008347245409015025	0.0	0.0	0.001669449081803005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1S202009b	0.37100737100737075	0.20024570024570054	0.09950859950859944	0.04422604422604425	0.02334152334152334	0.06388206388206391	0.06265356265356269	0.05159705159705165	0.009828009828009828	0.011056511056511056	0.01597051597051597	0.002457002457002457	0.013513513513513513	0.0085995085995086	0.004914004914004914	0.0036855036855036856	0.002457002457002457	0.0036855036855036856	0.002457002457002457	0.0	0.0	0.002457002457002457	0.0	0.0	0.0012285012285012285	0.0	0.0012285012285012285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1U202009a	0.31409958120055903	0.2345276872964161	0.05816658911121457	0.11354118194509082	0.02373196835737551	0.06561191251745005	0.0172173103769195	0.014425314099581206	0.015355979525360641	0.028850628199162377	0.012098650535132625	0.02000930665425779	0.034434620753839	0.014425314099581211	0.008841321544904607	0.0046533271288971625	0.002791996277338297	0.0046533271288971625	0.002791996277338297	0.002791996277338297	0.0	0.0013959981386691485	0.00046533271288971617	0.0013959981386691485	0.0009306654257794323	0.00046533271288971617	0.00046533271288971617	0.0009306654257794323	0.0	0.00046533271288971617	0.0	0.0	0.0	0.00046533271288971617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S1U202009b	0.2571428571428572	0.4000000000000001	0.02857142857142857	0.05714285714285714	0.02857142857142857	0.02857142857142857	0.0	0.0	0.02857142857142857	0.05714285714285714	0.02857142857142857	0.0	0.05714285714285714	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2S202009a	0.338201256475254	0.19260443072853645	0.12603328557257817	0.05692714647856272	0.04562989088504351	0.058359969139204174	0.03989860024247765	0.049156838972776305	0.016367243469635185	0.00810095888901135	0.024909070869613154	0.008817370219332085	0.01267496969028987	0.002314559682574672	0.0031411881406370546	0.005841507770307506	0.002755428193541276	0.0022594511187038462	0.0003857599470957787	0.0004959770748374297	0.0006061942025790808	0.0006613027664499064	0.0002755428193541276	0.0006061942025790808	0.0008266284580623831	0.0008266284580623829	5.510856387082553e-05	0.0002755428193541276	0.0009368455858040339	5.510856387082553e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2S202009b	0.3410589787073662	0.17566421707179133	0.13289052195213835	0.05280761258714912	0.04121914452609767	0.05874316939890715	0.04894478990013194	0.054880346711889995	0.018560391935179936	0.008997550405125315	0.025814961371773096	0.010834746561145657	0.01026945543621632	0.001366120218579235	0.00334463915583192	0.0042396834369700384	0.0018843037497644618	0.002355379687205577	4.710759374411155e-05	0.0005652911249293386	0.0008479366873940078	0.0013661202185792352	0.0	0.0004710759374411155	0.0008008290936498963	0.0014603354060674578	0.0	9.42151874882231e-05	0.0002826455624646693	0.0	0.0	4.710759374411155e-05	9.42151874882231e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.710759374411155e-05	0.0	0.0	0.0	0.0	0.0	0.0
S2U202009a	0.2874936451448887	0.24783934926283763	0.05439755973563816	0.11133706151499764	0.04245043213014751	0.06405693950177958	0.03863751906456539	0.01194712760549059	0.02440264361972545	0.023640061006609037	0.023385866802236897	0.021606507371631924	0.021098118962887644	0.005083884087442808	0.004067107269954245	0.003558718861209965	0.004067107269954246	0.0010167768174885613	0.0010167768174885613	0.0033045246568378247	0.0017793594306049825	0.0	0.0015251652262328421	0.0005083884087442806	0.0005083884087442806	0.0002541942043721403	0.0	0.0005083884087442806	0.0	0.0	0.0	0.0005083884087442806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S2U202009b	0.2784488239033726	0.260966306420854	0.05117609663064191	0.11665607120152563	0.04005085823267634	0.056420851875397075	0.04481881754609014	0.016052129688493327	0.021614748887476127	0.01859504132231403	0.020979020979020935	0.02288620470438652	0.018595041322314036	0.0069930069930069965	0.004291163382072473	0.0023839796567069298	0.003337571519389702	0.0034965034965034974	0.0011125238397965672	0.0030197075651621115	0.001589319771137953	0.0	0.0009535918626827718	0.0006357279084551812	0.0015893197711379528	0.0011125238397965672	0.0003178639542275906	0.0003178639542275906	0.0001589319771137953	0.00047679593134138587	0.0	0.0001589319771137953	0.0	0.0	0.0003178639542275906	0.0001589319771137953	0.0	0.0001589319771137953	0.0	0.0001589319771137953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S3S202009a	0.36933581626319034	0.20794537554314077	0.09124767225325879	0.054624456859093715	0.01924270639354438	0.05772811918063313	0.04220980757293605	0.056486654252017356	0.016759776536312845	0.014276846679081313	0.018621973929236497	0.0031036623215394167	0.012414649286157667	0.005586592178770951	0.004965859714463066	0.008069522036002483	0.0	0.0012414649286157666	0.00558659217877095	0.0012414649286157666	0.002482929857231533	0.0031036623215394167	0.0	0.0006207324643078833	0.0012414649286157666	0.00186219739292365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S3S202009b	0.3964143426294819	0.15139442231075687	0.0936254980079681	0.05976095617529879	0.01593625498007968	0.04581673306772907	0.05577689243027886	0.07569721115537846	0.01593625498007968	0.013944223107569721	0.013944223107569721	0.01195219123505976	0.019920318725099598	0.00398406374501992	0.00398406374501992	0.00597609561752988	0.0	0.0	0.0	0.00398406374501992	0.00199203187250996	0.00398406374501992	0.00199203187250996	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00199203187250996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
