	ca4a	ca4b	ca5a	ca5b	ca6a	ca6b	cb4a	cb4b	cb5a	cb5b	cb6a	cb6b	wa4a	wa4b	wa5a	wa5b	wa6a	wa6b	wb4a	wb4b	wb5a	wb5b	wb6a	wb6b
Chthoniobacteraceae	0.010861408428452936	0.011260771960315736	0.1447388228210149	0.13224327018943094	0.05027974087161369	0.04798907907172118	0.008196404407500479	0.010371797778281577	0.15189540189540163	0.13218053927315393	0.0332938933806613	0.03594409465162946	0.01470468099011521	0.016382169727368338	0.164569401500442	0.137571464528424	0.08036895487285006	0.07945219665001159	0.01797519532317105	0.020077275845881617	0.10378161191207731	0.08838259560547712	0.19373647358370535	0.18696057570468821
Subgroup_6_fa	0.11955448477427945	0.12433919907306892	0.04881077826283314	0.0587437686939183	0.07869552414605424	0.0796492701879658	0.10852503382949871	0.08920879619133931	0.05080730080730064	0.047479484173505414	0.0746729770590933	0.0701930395073689	0.09653350761103309	0.10638297872340449	0.049711176625680364	0.054798461040595416	0.06001028957812741	0.05560877106687016	0.10028410643064092	0.08525620192828602	0.08586622547860959	0.08499551283906988	0.05054105665181396	0.048174624046668335
Xanthobacteraceae	0.04356412180575862	0.041060178144688396	0.10582568116814638	0.09040877367896315	0.05307714958775031	0.05875249396198687	0.04693601391842246	0.05163228292904111	0.08669708669708653	0.09910400267961794	0.07552750936698838	0.07296063101086289	0.04822590746943339	0.03600032359841425	0.10028522806260662	0.07863794901298045	0.05475525503454367	0.07140083361379336	0.0640878544500904	0.06424006066515027	0.08196643819427998	0.07932142546970433	0.12549968173138187	0.11016807325411802
Pyrinomonadaceae	0.0643390339270901	0.07049750162937236	0.046477495107632154	0.04358923230309075	0.04704063604240284	0.04394623543001167	0.08057220181712724	0.09260938562684162	0.03461740961740951	0.026586836375816516	0.06343259054755787	0.06531515948246047	0.05081284208806479	0.050602702046759776	0.04527695884566546	0.042824781561252724	0.06361164192268105	0.06630077406995095	0.0526416434464295	0.0628678727476257	0.03923422358780409	0.028862577077844943	0.03187778485041367	0.03194109068305157
Gaiellales_family	0.031557328488486955	0.03168223622275337	0.03236489537859403	0.03098703888334996	0.046672555948174356	0.05166439147327533	0.03216702107094526	0.03462933575153034	0.03435415935415931	0.0398174510132307	0.0569578649838954	0.0493669134435758	0.03294937777414703	0.029690154518242872	0.037654898012991156	0.032289381899248494	0.018851977068940155	0.020866233463639403	0.07337594929792969	0.07034268587729783	0.032545497518317056	0.03083113800191061	0.04506683640992989	0.041528199488368694
67-14	0.02906907855760498	0.02777174306611637	0.0292036730392895	0.02883349950149553	0.03150765606595997	0.033497847317021996	0.0558283394548617	0.04908184085241451	0.023078273078273114	0.029182716462904084	0.034805758233090164	0.02860997716737013	0.06077934809247616	0.05505218024431669	0.026389587977277692	0.025133939807989635	0.029362046156107578	0.030470914127423795	0.07061683876960108	0.06326508503954074	0.025360434885369917	0.029499464435630902	0.022253341820496455	0.019987089678915517
Gemmataceae	0.026659820688020995	0.028495908465493887	0.03793466807165458	0.03992023928215365	0.03953180212014149	0.04153103013756203	0.024163928088150172	0.029075039673543242	0.03777641277641262	0.034960643108357385	0.03819102083744187	0.041410087871030586	0.025705960841979417	0.03632392201278182	0.030751899523022527	0.03685592031929808	0.037115978244892135	0.03339632899267318	0.028492596842047538	0.035351893980428005	0.03297092885842588	0.037257910430477464	0.029306174411202694	0.03129557462882802
Sphingomonadaceae	0.016864805087088763	0.01556955608661018	0.017988860454613894	0.0190628115653041	0.016710836277974095	0.016381392418355553	0.018248598492170916	0.020006801178870975	0.02312214812214815	0.0240746943560543	0.015381581542102157	0.01584446135750365	0.014650219208670328	0.014116980826793954	0.025071307015651675	0.02624860666642695	0.02043216228134644	0.020788567582261074	0.020133311478992492	0.019463402303831246	0.022736941621366136	0.024925455229713643	0.016575429662635224	0.017213761445955954
Bacteria_unclassified	0.02219676922469306	0.022014628141067725	0.014714737317477125	0.01467597208374879	0.01950824499411075	0.018376562007770596	0.019099168760873843	0.02165041940603028	0.014303264303264417	0.01507285211857305	0.024321304147768473	0.02252127585968329	0.019306701522206975	0.02038670010516951	0.015963184008053497	0.01787062673043039	0.017014552403351473	0.01711238253035423	0.018412282139539878	0.02069114938793182	0.017702670763413007	0.017138059809512735	0.015276893698281162	0.015564109307385087
Solirubrobacteraceae	0.019116078834077184	0.019407632703309526	0.010161071804907431	0.011326021934197412	0.016710836277974095	0.016486401344114235	0.026019717765319975	0.019099977329403717	0.01224113724113726	0.012267626863171996	0.017682245447972155	0.015014183906455439	0.032813223320534886	0.03126769678828575	0.01203230986793221	0.013304088310380779	0.021571365574011438	0.022419551091205588	0.03234442441129865	0.02643267251652036	0.01668636256204209	0.015835335668586973	0.010388287714831294	0.010208716857532196
Gaiellaceae	0.015877404320865755	0.01600405532623653	0.013397561342766828	0.013040877367896315	0.016637220259128397	0.02047674052294444	0.016934080804175543	0.014735887553842671	0.01022288522288523	0.012518841065148213	0.022973772431473097	0.01940773541825227	0.012989134874601762	0.012782137367526904	0.013782028235181322	0.013124303333213475	0.010546817580479203	0.011390995935485536	0.028547232694093844	0.0280215216841801	0.01609548570077996	0.01676171727991197	0.017135582431572233	0.018122265522270302
Rokubacteriales_fa	0.009637031478336418	0.012564269679194728	0.01877916603944002	0.016709870388833502	0.022305653710247366	0.01774650845321852	0.00742315870867968	0.00986170936295625	0.01939276939276941	0.018254898676938552	0.017945178465785847	0.01961530478101434	0.008414345233232588	0.012418089151363162	0.010234654011169433	0.01182985149760886	0.011355284433338239	0.00931990576539725	0.011173031743430036	0.012999675008124805	0.015268258095013006	0.015169498885447124	0.013087205601527669	0.012671241064384242
Micromonosporaceae	0.008452150558868827	0.008653776522557752	0.013698630136986311	0.014675972083748766	0.016121908127208484	0.018166544156253264	0.006727237579740959	0.00759464973928815	0.012416637416637434	0.015407804387874724	0.017879445211332425	0.019130976267902892	0.009149579282738352	0.008696707386133812	0.0153879341338894	0.01513789507748732	0.02079964721446417	0.02480130478680712	0.009670545812161932	0.010363629798143944	0.013566532734578116	0.014272066699476026	0.012501591343093543	0.014153537188897112
Gemmatimonadaceae	0.01560093210632328	0.013252226808603084	0.010010537407797698	0.00929212362911267	0.011925795053003545	0.014018691588785017	0.014614343707713104	0.013205622307866725	0.01048613548613552	0.010257913247362237	0.010681653848682063	0.010482252819483876	0.023990414726465795	0.021519294555456696	0.008173341962081436	0.008449893926863466	0.010877554020285183	0.009345794392523338	0.013467737529366756	0.01444408334236091	0.011959347671945184	0.013258836812089298	0.008860598345003159	0.009682740813350207
Rhizobiaceae	0.01196729728662269	0.008798609602433196	0.009333132620803855	0.011086739780658028	0.021275029446407547	0.020319227134306412	0.012371931181132802	0.013829063704375432	0.010442260442260445	0.010885948752302796	0.00946558864129363	0.010862796651214285	0.012662364185932529	0.010193350052584744	0.013086934637233046	0.01229729243824386	0.008893135381449362	0.010433116731819703	0.006501666393487407	0.005849853753656161	0.011344835736232569	0.012158758648640825	0.00784213876511776	0.008822052741052428
MB-A2-108_fa	0.01248074568505864	0.01263668621913245	0.0057203070901701	0.005663010967098709	0.017741460541813907	0.019006615562322794	0.009781558090083117	0.011051915665382004	0.005177255177255177	0.005987271813766536	0.019128377045947564	0.020099633294125813	0.007461264057947336	0.006957365908907048	0.006831092255698568	0.006831829132357699	0.005990004409819193	0.004867061899707461	0.020788941703545845	0.022641100639150653	0.011486646182935477	0.013229887386735376	0.0052450668364099305	0.00580964448801014
Deltaproteobacteria_unclassified	0.012046289347920515	0.010319356941125353	0.009671835014300781	0.009451645064805588	0.01177856301531214	0.012023521999369936	0.008196404407500472	0.00804806166402177	0.009520884520884546	0.010383520348350352	0.01166765266548348	0.013215249429184278	0.01026604580235823	0.010395599061564604	0.011433091249011283	0.01326813131494732	0.007937674555343222	0.008025474409092084	0.009971042998415551	0.00989419708951722	0.014322855116993627	0.013664128767043985	0.011508593252705241	0.010949864919788638
Alphaproteobacteria_unclassified	0.009637031478336397	0.007965819393149396	0.007601987054041836	0.007896311066799607	0.012146643109540646	0.012706080016801404	0.009317610670790621	0.01008841532532308	0.008731133731133746	0.010425389382013055	0.012620784855058194	0.013388223898152671	0.011709283010647345	0.009910201440012954	0.011457059993768118	0.012656862392578471	0.013376451565485836	0.013229088461438832	0.008905643883516348	0.01011085833965265	0.011250295438430659	0.013114089685319763	0.006441756842775303	0.007148492600473389
Steroidobacteraceae	0.018168174098503114	0.015279889926859294	0.004666566310401926	0.006021934197407778	0.011116018845700824	0.010553397038748292	0.017707326502996345	0.02182044887780547	0.003992628992628993	0.0046055937028973365	0.008972589232892925	0.00940981111187989	0.021185632982054853	0.022732788609335815	0.002996093094604636	0.0029844306209773105	0.009407614287814201	0.008776244595749086	0.013658963011528164	0.01505795688441123	0.0066887260694871165	0.00894537243435718	0.002316995544239338	0.0035144762952160086
Chitinophagaceae	0.010742920336506164	0.008907234412339779	0.00997290380852026	0.011684945164506492	0.014502355712603068	0.010658405964506965	0.0059539918809201516	0.007084561323962828	0.011451386451386485	0.010927817785965488	0.008348123315585355	0.0099979243063724	0.006372028429049914	0.006836016503519138	0.011265310035713419	0.0143108841825177	0.013266206085550507	0.012141766122142513	0.007157296618040767	0.007113711046112746	0.01122666036398015	0.011087629910546286	0.012399745385104972	0.014273077198938468
Pirellulaceae	0.015205971799834085	0.01774205228474191	0.0052687038988408815	0.006699900299102697	0.009570082449941111	0.008453218523574495	0.014343707713125826	0.013035592836091616	0.00759038259038259	0.006824652487020586	0.010747387103135487	0.010101708987753439	0.013370367344715896	0.018930507240514538	0.005249155101747317	0.005645248283053465	0.008121417021902104	0.00696404069692185	0.011173031743430019	0.010869172715126597	0.010966674545024825	0.011145528761254103	0.005957988542329728	0.005188036435795069
Bacillales_unclassified	0.002567241992179783	0.002606995437757984	0.03676802649405392	0.03485543369890331	0.007140753828032974	0.007140606951590876	0.009433597525613756	0.009464973928814338	0.015926640926640964	0.015198459219561205	0.005685926510221511	0.006676814502179475	0.005582332598099284	0.005137124828088343	0.006255842381534474	0.0072992700729927	0.011722769366455985	0.011882879850881482	0.0029503360104900836	0.003286028960387101	0.00437248877333963	0.004081868974900846	0.008605983450031803	0.00865469672699451
Beijerinckiaceae	0.00951854338638966	0.008436526902744587	0.004666566310401923	0.0053838484546360945	0.006036513545347465	0.006720571248556121	0.009008312391262315	0.010201768306506468	0.005308880308880309	0.005819795679115723	0.007723657398277783	0.007368712378052998	0.012689595076654967	0.012296739745975248	0.01037846647971045	0.010391571680270394	0.013670439511980019	0.015766173919797014	0.008304649511009121	0.00790813562994259	0.005459702198061915	0.007150508062414964	0.006976448122215151	0.007817916656705
Solibacteraceae_(Subgroup_3)	0.007701725976539356	0.00651748859439496	0.009370766220081301	0.010049850448654052	0.005153121319199053	0.006195526619762666	0.009356272955731666	0.008104738154613482	0.008336258336258345	0.009043711271143852	0.007066324853743486	0.007541686847021374	0.009530811752852468	0.007645012539438564	0.00973131037127585	0.009780302757901545	0.011245038953402935	0.010976777901467845	0.004480139867781243	0.005416531253385343	0.008461356653273456	0.00752685059201575	0.007638446849140677	0.007961364668754642
