	ca4a	ca4b	ca5a	ca5b	ca6a	ca6b	cb4a	cb4b	cb5a	cb5b	cb6a	cb6b	wa4a	wa4b	wa5a	wa5b	wa6a	wa6b	wb4a	wb4b	wb5a	wb5b	wb6a	wb6b
Subgroup_6_ge	0.11955448477427945	0.12433919907306892	0.04881077826283314	0.0587437686939183	0.07869552414605424	0.0796492701879658	0.10852503382949871	0.08920879619133931	0.05080730080730064	0.047479484173505414	0.0746729770590933	0.0701930395073689	0.09653350761103309	0.10638297872340449	0.049711176625680364	0.054798461040595416	0.06001028957812741	0.05560877106687016	0.10028410643064092	0.08525620192828602	0.08586622547860959	0.08499551283906988	0.05054105665181396	0.048174624046668335
Candidatus_Udaeobacter	0.007543741853943679	0.007857194583242813	0.1413141652867683	0.12737786640079715	0.04468492343934041	0.04410374881864962	0.005219408467040401	0.006291090455678985	0.14750789750789733	0.1288310165801376	0.02875829882337475	0.03148135335224523	0.01075620183536204	0.012377639349567189	0.1601351837204275	0.132429614181439	0.0752609143025135	0.07523235042845675	0.014587772496312075	0.016538475427003207	0.09803828882060964	0.08233216570651065	0.1903755569700832	0.18313529538336473
RB41	0.06422054583514336	0.07038887681946578	0.04640222790907728	0.04342971086739783	0.04689340400471144	0.04373621757849428	0.08057220181712724	0.09249603264565823	0.034529659529659425	0.026503098308491107	0.06323539078419763	0.06521137480107944	0.05067668763445261	0.05056225224496381	0.04522902135615178	0.0427528675703858	0.0634278994561222	0.06619721956144654	0.052614325520406444	0.06275954212255798	0.03906877806665072	0.028833627652491037	0.031852323360916535	0.03189327467903503
Xanthobacteraceae_genus	0.016825309056439832	0.01571438916648563	0.06465452355863315	0.056071784646061815	0.03202296819787986	0.03775070881024888	0.018287260777111927	0.02023350714123781	0.05216742716742716	0.06091944397923297	0.048149608887136014	0.048259876842178105	0.01873485281703565	0.01452147884475366	0.05965820569976752	0.04523390025529467	0.03325738644715567	0.042871566520827395	0.039856854067639176	0.040262882316830964	0.04429212952020796	0.046145384014127315	0.08572883513685552	0.07332584215937073
Gaiellales_genus	0.031557328488486955	0.03168223622275337	0.03236489537859403	0.03098703888334996	0.046672555948174356	0.05166439147327533	0.03216702107094526	0.03462933575153034	0.03435415935415931	0.0398174510132307	0.0569578649838954	0.0493669134435758	0.03294937777414703	0.029690154518242872	0.037654898012991156	0.032289381899248494	0.018851977068940155	0.020866233463639403	0.07337594929792969	0.07034268587729783	0.032545497518317056	0.03083113800191061	0.04506683640992989	0.041528199488368694
67-14_ge	0.02906907855760498	0.02777174306611637	0.0292036730392895	0.02883349950149553	0.03150765606595997	0.033497847317021996	0.0558283394548617	0.04908184085241451	0.023078273078273114	0.029182716462904084	0.034805758233090164	0.02860997716737013	0.06077934809247616	0.05505218024431669	0.026389587977277692	0.025133939807989635	0.029362046156107578	0.030470914127423795	0.07061683876960108	0.06326508503954074	0.025360434885369917	0.029499464435630902	0.022253341820496455	0.019987089678915517
Gemmataceae_genus	0.016548836841897355	0.01792309363458624	0.025590847508655843	0.02612163509471591	0.024440518256772736	0.025359655570723408	0.014730330562536182	0.01785309453638631	0.026193401193401376	0.023614134985764715	0.024682837047262325	0.026015360132844587	0.01467745009939287	0.021357495348272835	0.02056518300136646	0.024594584876487698	0.023592532706158898	0.02102156522639587	0.017647380210894317	0.021810565846964836	0.02127156700543616	0.023883275916972792	0.020572883513685344	0.022282257871709524
Bacteria_unclassified	0.02219676922469306	0.022014628141067725	0.014714737317477125	0.01467597208374879	0.01950824499411075	0.018376562007770596	0.019099168760873843	0.02165041940603028	0.014303264303264417	0.01507285211857305	0.024321304147768473	0.02252127585968329	0.019306701522206975	0.02038670010516951	0.015963184008053497	0.01787062673043039	0.017014552403351473	0.01711238253035423	0.018412282139539878	0.02069114938793182	0.017702670763413007	0.017138059809512735	0.015276893698281162	0.015564109307385087
Gaiella	0.015877404320865755	0.01600405532623653	0.013397561342766828	0.013040877367896315	0.016637220259128397	0.02047674052294444	0.016934080804175543	0.014735887553842671	0.01022288522288523	0.012518841065148213	0.022973772431473097	0.01940773541825227	0.012989134874601762	0.012782137367526904	0.013782028235181322	0.013124303333213475	0.010546817580479203	0.011390995935485536	0.028547232694093844	0.0280215216841801	0.01609548570077996	0.01676171727991197	0.017135582431572233	0.018122265522270302
Sphingomonas	0.011927801255973772	0.011115938880440292	0.015091073310251394	0.015792622133599204	0.013545347467608954	0.013283629108474216	0.014382369998066885	0.016832917705735653	0.018559143559143565	0.02085077876402614	0.01117465325708276	0.011866048571230893	0.011573128557035102	0.011406844106463879	0.021595839025910234	0.02261695012764733	0.01657357048361016	0.017060605276102193	0.016363437687810733	0.015671830426461565	0.01923895060269441	0.02119097935905971	0.013087205601527678	0.014129629186888846
