	ca4a	ca4b	ca5a	ca5b	ca6a	ca6b	cb4a	cb4b	cb5a	cb5b	cb6a	cb6b	wa4a	wa4b	wa5a	wa5b	wa6a	wa6b	wb4a	wb4b	wb5a	wb5b	wb6a	wb6b
Rhizobiales	0.10723172321181641	0.09732782967629862	0.15346981785338037	0.13922233300099496	0.10873085983510025	0.1161923763519897	0.10349893678716372	0.10887553842666003	0.1387328887328882	0.1565901858985104	0.12311838559126966	0.12409188403791618	0.11265419491871488	0.09267049591457027	0.15603652836700707	0.1331127970946747	0.10484345141849136	0.12946902425764326	0.10801507949516558	0.1070667677752509	0.14013235641692495	0.14052051066786486	0.17670273711012266	0.16388935376670535
Chthoniobacterales	0.011690825072080252	0.011659062929973206	0.14936775553213943	0.13810568295114573	0.05484393404004714	0.05255696734222419	0.0090856369611444	0.0108818861936069	0.15913478413478382	0.13820968012058316	0.04062315125221854	0.045457690444890377	0.017346077390191464	0.02006310169080172	0.17176002492749298	0.14605731545072093	0.08411730119065101	0.08338726797317933	0.02324755504562091	0.02603546022460548	0.11013944693925762	0.09408563240019673	0.2014513049013375	0.19647596050398053
Subgroup_6_or	0.11955448477427945	0.12433919907306892	0.04881077826283314	0.0587437686939183	0.07869552414605424	0.0796492701879658	0.10852503382949871	0.08920879619133931	0.05080730080730064	0.047479484173505414	0.0746729770590933	0.0701930395073689	0.09653350761103309	0.10638297872340449	0.049711176625680364	0.054798461040595416	0.06001028957812741	0.05560877106687016	0.10028410643064092	0.08525620192828602	0.08586622547860959	0.08499551283906988	0.05054105665181396	0.048174624046668335
Gaiellales	0.05118685572100015	0.052357158374973095	0.05468161975011298	0.05292123629112667	0.06964075382803304	0.07954426126220715	0.05447515948192527	0.05491951938335995	0.05300105300105291	0.062175514989114194	0.08979162558338176	0.07645471528402424	0.052419464640688515	0.04773076611924584	0.06104839289566433	0.05404336413649273	0.03391885932676767	0.03671007326481471	0.1158006884117368	0.11132777236124727	0.056251477192152774	0.05569869438091636	0.07279439847231137	0.06880722977980717
Solirubrobacterales	0.05008096686283041	0.049786371207183995	0.04117115760951384	0.04183449651046863	0.04946996466431102	0.051401869158878684	0.08424511888652585	0.07146905463613647	0.037644787644787556	0.04337631887456047	0.05399986853349118	0.04435065384349277	0.09582550445224991	0.08830191732060531	0.039716210062079246	0.03984035094027542	0.052844333382331424	0.05454733735469993	0.1054471944489983	0.09222547214097505	0.04327582131883686	0.046869119647974834	0.034576702737110006	0.031582470652927505
Pyrinomonadales	0.0643390339270901	0.07049750162937236	0.046477495107632154	0.04358923230309075	0.04704063604240284	0.04394623543001167	0.08057220181712724	0.09260938562684162	0.03461740961740951	0.026586836375816516	0.06343259054755787	0.06531515948246047	0.05081284208806479	0.050602702046759776	0.04527695884566546	0.042824781561252724	0.06361164192268105	0.06630077406995095	0.0526416434464295	0.0628678727476257	0.03923422358780409	0.028862577077844943	0.03187778485041367	0.03194109068305157
Gemmatales	0.026659820688020995	0.028495908465493887	0.03793466807165458	0.03992023928215365	0.03953180212014149	0.04153103013756203	0.024163928088150172	0.029075039673543242	0.03777641277641262	0.034960643108357385	0.03819102083744187	0.041410087871030586	0.025705960841979417	0.03632392201278182	0.030751899523022527	0.03685592031929808	0.037115978244892135	0.03339632899267318	0.028492596842047538	0.035351893980428005	0.03297092885842588	0.037257910430477464	0.029306174411202694	0.03129557462882802
Bacillales	0.01560093210632329	0.013831559128104859	0.0753048321541466	0.07377866400797614	0.03099234393404009	0.03286779376246986	0.023390682389329284	0.021423713443663516	0.046551421551421356	0.04647462736560056	0.02271083941365942	0.026257524389400207	0.020314244478936993	0.019335005258474248	0.03211811797416185	0.03534572651109272	0.046523592532706264	0.04600409040308577	0.01089985248319946	0.009858086881161328	0.02292602221697005	0.022667400052108874	0.0256142584341183	0.03067396657661313
Myxococcales	0.027252261147754735	0.023861249909479566	0.019193135631491845	0.01926221335992027	0.028931095406360498	0.027197311771500497	0.023854629808621814	0.02964180457946032	0.019217269217269323	0.021813766538268435	0.0253730362190233	0.027018612052861143	0.021539634561446672	0.02362268424884721	0.015675559070971432	0.02035165941533924	0.029729531089225197	0.02630284516012102	0.01849423591760907	0.01863286751164549	0.023327818482628337	0.027704600063688557	0.01695735200509219	0.017668013484113065
Sphingomonadales	0.016864805087088763	0.01556955608661018	0.017988860454613894	0.0190628115653041	0.016710836277974095	0.016381392418355553	0.018248598492170916	0.020006801178870975	0.02312214812214815	0.0240746943560543	0.015381581542102157	0.01584446135750365	0.014650219208670328	0.014116980826793954	0.025071307015651675	0.02624860666642695	0.02043216228134644	0.020788567582261074	0.020133311478992492	0.019463402303831246	0.022736941621366136	0.024925455229713643	0.016575429662635224	0.017213761445955954
