	Proteobacteria	Actinobacteria	Acidobacteria	Verrucomicrobia	Planctomycetes	Chloroflexi	Firmicutes	Bacteria_unclassified	Bacteroidetes	Gemmatimonadetes	Rokubacteria	Thaumarchaeota	Armatimonadetes	Entotheonellaeota	Latescibacteria	Chlamydiae	Dependentiae	Cyanobacteria	Nitrospirae	Elusimicrobia	Patescibacteria	BRC1	Fibrobacteres	FBP	Omnitrophicaeota	WS2	Nanoarchaeaeota	Tenericutes	GAL15	Euryarchaeota	WS4	Dadabacteria	Hydrogenedentes	Archaea_unclassified	WPS-2	Margulisbacteria	Kiritimatiellaeota	Deinococcus-Thermus
ca4a	0.30637070974365754	0.19566333583475132	0.2357123109127557	0.01899759074213045	0.05805916505391269	0.03866661400529267	0.018839606619534786	0.02219676922469306	0.015956396382163562	0.020221967692246975	0.009637031478336418	0.0319127927643272	0.00631936490382717	0.006990797424858806	0.003633634819700619	0.0022117777163395066	0.0019353055017970696	0.00047395236778703746	0.003989099095540898	0.0011453848888186738	0.00011848809194675935	0.0002369761838935187	7.899206129783957e-05	3.9496030648919786e-05	7.899206129783957e-05	7.899206129783957e-05	0.00011848809194675935	0.0	0.00011848809194675935	0.0	7.899206129783957e-05	0.0	3.9496030648919786e-05	0.0	3.9496030648919786e-05	0.0	3.9496030648919786e-05	0.0
ca4b	0.26671011659063254	0.19722644652038748	0.24737490042725968	0.018611050763994608	0.06329205590556995	0.05022087044681068	0.01669201245564492	0.022014628141067725	0.012926352378883336	0.016800637265551508	0.012600477949163589	0.04558621189079591	0.007241653993772177	0.006481280324426099	0.004308784126294446	0.0032949525671663407	0.0021362879281627925	0.00039829096965746975	0.0033673691071040624	0.000651748859439496	0.0007965819393149395	0.000325874429719748	0.00010862480990658267	0.00010862480990658267	0.00021724961981316532	0.00018104134984430444	0.0	0.0	0.00010862480990658266	3.620826996886089e-05	3.620826996886089e-05	0.0	7.241653993772178e-05	0.0	3.620826996886089e-05	0.0	3.620826996886089e-05	0.0
ca5a	0.268816799638721	0.16758241758241937	0.15971699533343484	0.15757188017462045	0.06416528676802664	0.02747252747252759	0.08049826885443238	0.014714737317477125	0.012042751768779194	0.01008580460635257	0.01877916603944002	0.0007150383862712629	0.004628932711124489	0.0054945054945054915	0.001279542375432787	0.002897787144362491	0.0012795423754327871	0.0009784735812133072	3.76335992774349e-05	0.0003010687942194791	0.00022580159566460935	0.00037633599277434894	3.76335992774349e-05	3.76335992774349e-05	7.52671985548698e-05	3.76335992774349e-05	0.0	0.0	0.0	0.0	7.52671985548698e-05	0.0	0.0	7.52671985548698e-05	0.0	0.0	0.0	0.0
ca5b	0.2637686939182358	0.16578265204386344	0.17064805583249754	0.14767696909272013	0.06807577268195436	0.03034895314057834	0.08007976071784656	0.01467597208374879	0.0139182452642074	0.009531405782652052	0.016709870388833502	0.00035892323030907274	0.005264207377866407	0.005862412761714857	0.0012761714855433694	0.0016749750747756724	0.001914257228315054	0.0011565304087736785	0.0	0.00031904287138584246	0.00015952143569292123	0.00035892323030907274	3.988035892323031e-05	0.0	3.988035892323031e-05	0.00015952143569292123	3.988035892323031e-05	0.00011964107676969092	3.988035892323031e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca6a	0.2747349823321564	0.21598939929328678	0.1857332155477036	0.06308892815076568	0.06573910482921111	0.05300353356890475	0.041077738515901144	0.01950824499411075	0.019287396937573646	0.013987043580683171	0.022305653710247366	0.0009570082449941107	0.009349234393404005	0.005005889281507654	0.0036071849234393417	0.0008833922261484098	0.0019876325088339234	0.0015459363957597179	0.00014723203769140164	0.0005153121319199057	0.0003680800942285041	0.0005153121319199057	7.361601884570082e-05	7.361601884570082e-05	0.0	7.361601884570082e-05	7.361601884570082e-05	0.00036808009422850414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca6b	0.277958626483256	0.22802688228499662	0.18329307991179455	0.059855087682453186	0.06941089992649391	0.04877664601491164	0.042633623858028206	0.018376562007770596	0.015226294235009935	0.015698834400924046	0.017799012916097864	0.0006300535545521368	0.008348209597815797	0.00488291504777906	0.003150267772760685	0.0013126115719836187	0.0011025937204662396	0.0012076026462249291	0.0	0.0003150267772760685	0.0003150267772760685	0.0005250446287934474	0.00036753124015541323	0.0001575133886380342	5.250446287934474e-05	5.250446287934474e-05	0.00021001785151737897	0.00021001785151737897	5.250446287934474e-05	0.0	0.0	0.0	0.0	5.250446287934474e-05	0.0	0.0	0.0	0.0
cb4a	0.2819640440750016	0.23065919195824305	0.23881693408080223	0.017243379083703877	0.05439783491204279	0.04086603518267905	0.027836845157548928	0.019099168760873843	0.011637347767253017	0.018093949352406782	0.00742315870867968	0.03007925768412913	0.005219408467040398	0.004716798762806878	0.002358399381403441	0.0030543205103421615	0.0013918422578774407	0.0003866228494104002	0.0024743862362265607	0.0006959211289387203	0.0003866228494104002	0.0002319737096462401	0.00011598685482312006	3.866228494104002e-05	0.00027063599458728013	7.732456988208004e-05	3.866228494104002e-05	7.732456988208004e-05	7.732456988208004e-05	0.00019331142470520006	0.0	0.0	3.866228494104002e-05	0.0	0.0	0.0	0.0	3.866228494104002e-05
cb4b	0.3067331670823017	0.21265019270007107	0.2270460213103632	0.019099977329403727	0.060813874404897404	0.04352754477442785	0.025844479709816258	0.02165041940603028	0.012242121967807778	0.017116300158694166	0.00986170936295625	0.023917479029698468	0.005781002040353669	0.004704148719111317	0.0024370890954432097	0.0018136476989344815	0.0007367943776921331	0.0002833824529585128	0.0017569712083427792	0.0006234413965087281	0.00017002947177510768	0.00045341192473362043	0.00017002947177510768	0.00011335298118340512	0.0	5.667649059170256e-05	5.667649059170256e-05	0.00011335298118340512	0.0	5.667649059170256e-05	0.00011335298118340512	0.0	0.0	0.0	0.0	0.0	0.0	5.667649059170256e-05
cb5a	0.28246753246752926	0.17199017199017044	0.15566865566865418	0.16720779220779156	0.06704106704106626	0.027685152685152894	0.04914004914004889	0.014303264303264417	0.015093015093015166	0.010924885924885963	0.01939276939276941	0.0013162513162513162	0.004519129519129519	0.0042997542997543	0.0014917514917514917	0.002457002457002457	0.002106002106002106	0.0006581256581256581	0.00013162513162513163	0.0005265005265005265	0.000702000702000702	0.00026325026325026325	0.0001755001755001755	0.00021937521937521936	8.775008775008775e-05	0.0	0.0	0.0	8.775008775008775e-05	4.387504387504387e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb5b	0.30388544632390624	0.1930162451850629	0.14109864344331083	0.14578797521353273	0.06188243175347584	0.02817785965499939	0.048944900351700106	0.01507285211857305	0.014277340478981717	0.010885948752302779	0.018296767710601257	0.0013398090772064979	0.004605593702897336	0.004647462736560038	0.0015910232791827158	0.0016747613465081218	0.002009713615809746	0.0007117735722659524	0.00020934516831351533	0.0003768213029643276	0.0003349522693016245	0.0005024284039524368	0.0003768213029643276	4.1869033662703066e-05	0.0	0.0	0.0	0.0	0.00016747613465081226	4.1869033662703066e-05	0.0	0.0	0.0	4.1869033662703066e-05	0.0	0.0	0.0	0.0
