K00001	E1.1.1.1, adh
K00002	AKR1A1, adh
K00003	hom
K00004	BDH, butB
K00005	gldA
K00006	GPD1
K00007	dalD
K00008	SORD, gutB
K00009	mtlD
K00010	iolG
K00011	AKR1B
K00012	UGDH, ugd
K00013	hisD
K00014	aroE
K00015	gyaR, GOR1
K00016	LDH, ldh
K00018	hprA
K00019	BDH1, bdhA
K00020	HIBADH, mmsB
K00021	HMGCR
K00022	HADH
K00023	phbB
K00024	mdh
K00025	MDH1
K00026	MDH2
K00027	ME2, sfcA, maeA
K00028	E1.1.1.39
K00029	E1.1.1.40, maeB
K00030	IDH3
K00031	IDH1, IDH2, icd
K00032	E1.1.1.43
K00033	PGD, gnd, gntZ
K00034	gdh
K00035	gal
K00036	G6PD, zwf
K00037	AKR1C4
K00038	E1.1.1.53
K00039	rbtD
K00040	uxuB
K00041	uxaB
K00042	garR, glxR
K00043	gbd
K00044	HSD17B1
K00045	E1.1.1.67, mtlK
K00046	idnO
K00048	fucO
K00049	GRHPR
K00051	E1.1.1.82
K00052	leuB, IMDH
K00053	ilvC
K00054	mvaA
K00055	E1.1.1.90
K00057	gpsA
K00058	serA, PHGDH
K00059	fabG, OAR1
K00060	tdh
K00061	RDH5
K00062	ARA2
K00063	ARA1
K00064	E1.1.1.122
K00065	kduD
K00066	algD
K00067	rfbD, rmlD
K00068	srlD
K00069	HPGD
K00070	HSD3B
K00071	HSD11B2
K00072	SPR
K00073	allD
K00074	paaH, hbd, fadB, mmgB
K00075	murB
K00076	hdhA
K00077	panE, apbA
K00078	DHDH
K00079	CBR1
K00081	CBR2
K00082	ribD2
K00083	CAD
K00084	CBR3
K00085	E1.1.1.200
K00086	dhaT
K00087	ygeS, xdhA
K00088	IMPDH, guaB
K00089	AKR1C2
K00090	ghrB
K00091	E1.1.1.219
K00093	mdh
K00094	E1.1.1.251, gatD
K00095	MTD
K00096	araM, egsA
K00097	pdxA
K00098	idnD
K00099	dxr
K00100	bdhAB
K00101	lldD
K00102	LDHD, dld
K00103	GULO
K00104	glcD
K00105	E1.1.3.21
K00106	XDH
K00107	ALO
K00108	betA, CHDH
K00109	L2HGDH
K00111	glpA, glpD
K00112	glpB
K00113	glpC
K00114	exaA
K00115	GLD
K00116	mqo
K00117	gcd
K00118	gfo
K00119	E1.1.99.36
K00120	fgd2
K00121	frmA, ADH5, adhC
K00122	FDH
K00123	fdoG, fdhF, fdwA
K00124	fdoH, fdsB
K00125	fdhB
K00126	fdsD
K00127	fdoI, fdsG
K00128	ALDH
K00129	ALDH3
K00130	betB, gbsA
K00131	gapN
K00132	E1.2.1.10
K00133	asd
K00134	GAPDH, gapA
K00135	gabD
K00137	prr
K00138	aldB
K00139	ALDH5A1
K00140	mmsA, iolA, ALDH6A1
K00141	xylC
K00142	AASDH
K00143	LYS2
K00145	argC
K00146	feaB, tynC
K00147	proA
K00148	fdhA
K00149	ALDH9A1
K00150	gap2, gapB
K00151	hpaE, hpcC
K00152	nahF
K00153	E1.1.1.306
K00154	E1.2.1.68
K00155	LNAA, LNBA
K00156	poxB
K00157	AOX
K00158	spxB, poxL
K00161	PDHA, pdhA
K00162	PDHB, pdhB
K00163	aceE
K00164	OGDH, sucA
K00166	BCKDHA, bkdA1
K00167	BCKDHB, bkdA2
K00169	porA
K00170	porB
K00171	porD
K00172	porC, porG
K00174	korA, oorA, oforA
K00175	korB, oorB, oforB
K00176	korD, oorD
K00177	korC, oorC
K00179	iorA
K00180	iorB
K00181	PORCN
K00182	WNT2
K00184	dmsB
K00185	dmsC
K00186	vorA
K00187	vorB
K00188	vorD
K00189	vorG, porG
K00192	cdhA
K00193	cdhC
K00194	cdhD, acsD
K00195	cdhB
K00196	cooF
K00197	cdhE, acsC
K00198	cooS, acsA
K00200	fwdA, fmdA
K00201	fwdB, fmdB
K00202	fwdC, fmdC
K00203	fwdD, fmdD
K00204	fwdH
K00205	fwdF, fmdF
K00206	phnY
K00207	DPYD
K00208	fabI
K00209	fabV, ter
K00211	TYR1
K00212	AKR1C1
K00213	DHCR7
K00214	BLVRA, bvdR
K00215	dapB
K00216	entA
K00217	E1.3.1.32
K00218	por
K00219	fadH
K00220	tyrC
K00221	E4.99.1.2
K00222	TM7SF2, ERG24
K00223	ERG4
K00224	CEQORH
K00225	GLDH
K00226	pyrD
K00227	SC5DL, ERG3
K00228	CPOX, hemF
K00230	hemG
K00231	PPOX, hemY
K00232	E1.3.3.6, ACOX1, ACOX3
K00233	frdA, fdrA
K00234	SDHA, SDH1
K00235	SDHB, SDH2
K00236	SDHC, SDH3
K00237	SDHD, SDH4
K00239	sdhA, frdA
K00240	sdhB, frdB
K00241	sdhC, frdC
K00242	sdhD, frdD
K00243	K00243
K00244	frdA
K00245	frdB
K00246	frdC
K00247	frdD
K00248	ACADS, bcd
K00249	ACADM, acd
K00251	AKR1D1
K00252	GCDH, gcdH
K00253	IVD, ivd
K00254	DHODH, pyrD
K00255	ACADL
K00257	mbtN, fadE14
K00258	SWNR
K00259	ald
K00260	gudB, rocG
K00261	GLUD1_2, gdhA
K00262	E1.4.1.4, gdhA
K00263	E1.4.1.9
K00264	GLT1
K00265	gltB
K00266	gltD
K00270	pdh
K00271	vdh
K00272	DDO
K00273	DAO, aao
K00274	MAO, aofH
K00275	pdxH, PNPO
K00276	AOC3, AOC2, tynA
K00277	LOX
K00278	nadB
K00279	CKX
K00280	LOXL2_3_4
K00281	GLDC, gcvP
K00282	gcvPA
K00283	gcvPB
K00284	GLU, gltS
K00285	dadA
K00286	proC
K00287	DHFR, folA
K00288	MTHFD
K00289	ALDH1L
K00290	LYS1
K00293	LYS9
K00294	E1.2.1.88
K00295	MTD1
K00296	nos
K00297	metF, MTHFR
K00298	ceo
K00299	ssuE, msuE
K00300	mtdA
K00301	E1.5.3.1
K00302	soxA
K00303	soxB
K00304	soxD
K00305	soxG
K00306	PIPOX
K00307	BBE1
K00308	PAOX
K00309	dmg
K00310	SE
K00311	ETFDH
K00312	WNT3
K00313	fixC
K00314	SARDH
K00315	DMGDH
K00316	spdH
K00317	dmd-tmd
K00318	PRODH, fadM, putB
K00319	mtd
K00320	mer
K00322	sthA, udhA
K00323	NNT
K00324	pntA
K00325	pntB
K00326	CYB5R
K00327	POR
K00330	nuoA
K00331	nuoB
K00332	nuoC
K00333	nuoD
K00334	nuoE
K00335	nuoF
K00336	nuoG
K00337	nuoH
K00338	nuoI
K00339	nuoJ
K00340	nuoK
K00341	nuoL
K00342	nuoM
K00343	nuoN
K00344	qor, CRYZ
K00345	ndhS
K00346	nqrA
K00347	nqrB
K00348	nqrC
K00349	nqrD
K00350	nqrE
K00351	nqrF
K00354	E1.6.99.1
K00355	NQO1
K00357	QDPR
K00359	qorA
K00360	nasB
K00361	nasB
K00362	nirB
K00363	nirD
K00364	guaC, GMPR
K00365	uaZ
K00366	nirA
K00367	narB
K00368	nirK
K00370	narG, narZ, nxrA
K00371	narH, narY, nxrB
K00372	nasC, nasA
K00373	narJ, narW
K00374	narI, narV
K00375	K00375
K00376	nosZ
K00378	hox
K00380	cysJ
K00381	cysI
K00382	DLD, lpd, pdhD
K00383	GSR, gor
K00384	trxB, TRR
K00385	asrC
K00386	sorB
K00387	SUOX
K00389	yidH
K00390	cysH
K00392	sir
K00394	aprA
K00395	aprB
K00399	mcrA
K00400	K00400
K00401	mcrB
K00402	mcrG
K00404	ccoN
K00405	ccoO
K00406	ccoP
K00407	ccoQ
K00408	WNT4
K00410	fbcH
K00411	UQCRFS1, RIP1, petA
K00412	CYTB, petB
K00413	CYC1, CYT1, petC
K00414	QCR1, UQCRC1
K00415	QCR2, UQCRC2
K00416	QCR6, UQCRH
K00417	QCR7, UQCRB
K00418	QCR8, UQCRQ
K00419	QCR9, UCRC
K00420	QCR10, UQCR
K00421	lccA
K00422	E1.10.3.1
K00423	E1.10.3.3
K00424	cydX
K00425	cydA
K00426	cydB
K00427	lldP, lctP
K00428	E1.11.1.5
K00430	E1.11.1.7
K00431	TPO
K00432	gpx, btuE, bsaA
K00433	cpo
K00434	E1.11.1.11
K00435	hemQ
K00436	hoxH
K00437	hydB
K00440	frhA
K00441	frhB
K00442	frhD
K00443	frhG
K00444	WNT5
K00445	WNT6
K00446	dmpB, xylE
K00448	pcaG
K00449	pcaH
K00450	E1.13.11.4
K00451	HGD, hmgA
K00452	HAAO
K00453	TDO2, kynA
K00454	LOX2S
K00455	hpaD, hpcB
K00456	CDO1
K00457	HPD, hppD
K00458	ALOX12
K00459	ncd2, npd
K00460	ALOX15
K00461	ALOX5
K00462	bphC
K00463	IDO, INDO
K00464	diox1
K00465	CCD1
K00466	iaaM
K00467	E1.13.12.4
K00468	davB
K00469	MIOX
K00471	BBOX1
K00472	P4HA
K00473	PLOD1
K00474	TMLHE
K00475	F3H
K00476	ASPH
K00477	PHYH
K00478	HR
K00479	gbcA, bmoA
K00480	E1.14.13.1
K00481	pobA
K00483	hpaB
K00484	hpaC
K00485	FMO
K00486	KMO
K00487	CYP73A
K00488	CYP27A1
K00489	CYP7A1
K00490	CYP4F
K00491	nos
K00492	tmuM
K00493	XANG
K00494	luxA
K00495	CYP71AN24
K00496	alkB1_2, alkM
K00497	CYP11B1
K00498	CYP11A
K00499	CMO
K00500	phhA, PAH
K00501	TH
K00502	TPH1_2
K00503	DBH
K00504	PHM
K00505	TYR
K00506	TYRP1
K00507	SCD, desC
K00508	E1.14.19.3
K00509	PTGS1, COX1
K00510	HMOX1
K00511	SQLE, ERG1
K00512	CYP17A
K00513	CYP21A
K00514	ZDS, crtQ
K00515	BCMO1, BCDO1
K00516	E1.14.99.55
K00517	CYP81F
K00518	sodN
K00520	merA
K00521	E1.16.1.7
K00522	FTH1
K00523	ascD, ddhD, rfbI
K00524	nrdJ
K00525	E1.17.4.1A, nrdA, nrdE
K00526	E1.17.4.1B, nrdB, nrdF
K00527	rtpR
K00528	fpr
K00529	hcaD
K00530	nroR
K00531	anfG
K00532	E1.12.7.2
K00533	E1.12.7.2L
K00534	E1.12.7.2S
K00537	arsC
K00540	fqr
K00541	NNMT
K00542	GAMT
K00543	ASMT
K00544	BHMT
K00545	COMT
K00546	HNMT
K00547	mmuM, BHMT2
K00548	metH, MTR
K00549	metE
K00550	PLMT
K00551	PEMT
K00552	GNMT
K00553	PNMT
K00554	trmD
K00555	TRMT1, trm1
K00556	trmH
K00557	trmA
K00558	DNMT1, dcm
K00559	SMT1, ERG6
K00560	thyA, TYMS
K00561	ermC, ermA
K00562	INMT, TEMT
K00563	rlmA1
K00564	rsmC
K00565	RNMT
K00566	mnmA, trmU
K00567	ogt, MGMT
K00568	ubiG
K00569	TPMT, tpmT
K00570	pmtA
K00571	E2.1.1.72
K00572	WNT7
K00573	E2.1.1.77, pcm
K00574	cfa
K00575	cheR
K00577	mtrA
K00578	mtrB
K00579	mtrC
K00580	mtrD
K00581	mtrE
K00582	mtrF
K00583	mtrG
K00584	mtrH
K00586	DPH5
K00587	ICMT, STE14
K00588	E2.1.1.104
K00589	MET1
K00590	E2.1.1.113
K00591	COQ3
K00592	RBCMT
K00594	xyoA, aldO
K00595	cobL-cbiET
K00596	E4.1.1.64
K00597	MTRR
K00598	tam
K00599	METTL6
K00600	glyA, SHMT
K00601	E2.1.2.2
K00602	purH
K00603	fctD
K00604	MTFMT, fmt
K00605	gcvT, AMT
K00606	panB
K00607	wbkC
K00608	pyrBI
K00609	pyrB, PYR2
K00610	pyrI
K00611	OTC, argF, argI
K00612	nodU
K00613	GATM
K00614	CSKMT, METTL12
K00615	E2.2.1.1, tktA, tktB
K00616	E2.2.1.2, talA, talB
K00617	sftT
K00618	ARG2
K00619	argA
K00620	argJ
K00621	GNPNAT1, GNA1
K00622	nat
K00623	CHAT
K00624	E2.3.1.7
K00625	pta
K00626	ACAT, atoB
K00627	DLAT, aceF, pdhC
K00628	GLYAT
K00629	GPAT1_2
K00630	ATS1
K00631	plsB
K00632	fadA, fadI
K00633	lacA
K00634	ptb
K00635	tgs, wax-dgat
K00637	SOAT
K00638	catB
K00639	kbl, GCAT
K00640	cysE
K00641	metX
K00643	E2.3.1.37, ALAS
K00645	fabD, MCAT, MCT1
K00646	pksF
K00647	fabB
K00648	fabH
K00649	GNPAT
K00650	LCAT
K00651	metA
K00652	bioF
K00653	CDY
K00654	SPT
K00655	plsC
K00656	E2.3.1.54, pflD
K00657	speG, SAT
K00658	DLST, sucB
K00659	BAAT
K00660	CHS
K00661	maa
K00662	aacC
K00663	aacA
K00664	ATF
K00665	FASN
K00666	K00666
K00667	FAS2
K00668	FAS1
K00669	AANAT
K00670	NAA30, MAK3
K00671	NMT
K00672	ftr
K00673	astA
K00674	dapD
K00675	nhoA
K00677	lpxA
K00678	LRAT
K00679	E2.3.1.158
K00680	ytmI
K00681	ggt
K00682	GGCT
K00683	QPCT
K00684	aat
K00685	ATE1
K00686	tgl
K00687	pbp2B, penA
K00688	PYG, glgP
K00689	E2.4.1.5
K00690	E2.4.1.7
K00691	mapA
K00692	sacB
K00693	GYS
K00694	bcsA
K00695	SUS
K00696	E2.4.1.14
K00697	otsA
K00698	CHS1
K00699	UGT
K00700	GBE1, glgB
K00701	cgt
K00702	E2.4.1.20
K00703	glgA
K00704	LALBA
K00705	malQ
K00706	E2.4.1.34
K00709	ABO
K00710	GALNT
K00712	tagE
K00713	waaD
K00714	WNT8
K00715	B3GALT4
K00716	FUT3
K00717	FUT8
K00718	FUT1_2
K00719	B3GALNT1, B3GALT3
K00720	UGCG
K00721	DPM1
K00722	GBGT1
K00725	B4GALNT1, GALGT
K00726	MGAT1
K00727	GCNT1
K00728	POMT, pmt
K00729	ALG5
K00730	OST4
K00731	C1GALT1
K00733	B4GALT7
K00734	B3GALT6
K00735	B3GAT1
K00736	MGAT2
K00737	MGAT3
K00738	MGAT4A_B
K00739	B3GNT6
K00741	B3GNT2
K00742	GCNT2
K00743	GGTA1
K00744	MGAT5
K00746	CSGALNACT1_2
K00747	CHPF
K00748	lpxB
K00749	E2.4.1.183
K00750	GYG1, GYG2
K00752	hasA
K00753	E2.4.1.214
K00754	bshA
K00756	pdp
K00757	udp, UPP
K00758	deoA, TYMP
K00759	APRT, apt
K00760	hprT, hpt, HPRT1
K00761	upp, UPRT
K00762	pyrE
K00763	pncB, NAPRT1
K00764	purF, PPAT
K00765	hisG
K00766	trpD
K00767	nadC, QPRT
K00768	E2.4.2.21, cobU, cobT
K00769	gpt
