"lhs","op","rhs","mi","epc"
"warmed","~~","warmed",9.20702911919259e-32,8.13034762948727e-18
"warmed","~~","clipped",2.65331604546249e-30,5.01026128035262e-17
"clipped","~~","clipped",6.71882328195832e-31,-7.20449762595136e-17
"TP..mg.P.kg.","~","NO3..mg.L.",4.02034268250697,0.604856023955431
"TP..mg.P.kg.","~","NH4..mg.L.",0.0249852303546747,-0.0417794522399998
"TP..mg.P.kg.","~","TN..mg.L.",0.600654384232955,0.232062983298064
"TP..mg.P.kg.","~","H2O..mg.gsoil.",1.29824950197247,-0.324776200902132
"TP..mg.P.kg.","~","pH",0.822141578216049,0.712490584855167
"TP..mg.P.kg.","~","Richness",0.618791810469813,-0.00369492530067873
"TP..mg.P.kg.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.840746384730745,0.140025871559744
"NO3..mg.L.","~","TP..mg.P.kg.",4.02034268250704,0.553898024664561
"NO3..mg.L.","~","NH4..mg.L.",0.0304798356688374,-0.0441586996816239
"NO3..mg.L.","~","TN..mg.L.",2.93898867012932,0.491226066608522
"NO3..mg.L.","~","H2O..mg.gsoil.",2.23419259772281,-0.40771277757228
"NO3..mg.L.","~","pH",0.728868915958599,0.641976959072387
"NO3..mg.L.","~","Richness",5.00605363128324,0.0153073010597821
"NO3..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.37160602651091,-0.35484217950299
"NH4..mg.L.","~","TP..mg.P.kg.",0.0249852303546724,-0.0498355631279124
"NH4..mg.L.","~","NO3..mg.L.",0.0304798356688395,-0.0575194995334508
"NH4..mg.L.","~","TN..mg.L.",7.49585390205559,0.895349130438631
"NH4..mg.L.","~","H2O..mg.gsoil.",2.33466772110156,0.475670226433672
"NH4..mg.L.","~","pH",0.444708607693681,-0.572310752632745
"NH4..mg.L.","~","Richness",1.20046973065816,0.00584537474873535
"NH4..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.22750547209356,-0.331117648527407
"TN..mg.L.","~","TP..mg.P.kg.",0.60065438423299,0.215693736709067
"TN..mg.L.","~","NO3..mg.L.",2.93898867012969,0.498580468665966
"TN..mg.L.","~","NH4..mg.L.",7.49585390205562,0.697665827331428
"TN..mg.L.","~","H2O..mg.gsoil.",0.0443708106452728,-0.0578854785757109
"TN..mg.L.","~","pH",0.340720024522227,0.442201777923538
"TN..mg.L.","~","Richness",4.74150997921744,-0.0113659214641187
"TN..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",3.80369262054268,0.339448983756315
"H2O..mg.gsoil.","~","TP..mg.P.kg.",1.29824950197247,-0.333113874099125
"H2O..mg.gsoil.","~","NO3..mg.L.",2.23419259772279,-0.456651659497664
"H2O..mg.gsoil.","~","NH4..mg.L.",2.33466772110158,0.40901370868597
"H2O..mg.gsoil.","~","TN..mg.L.",0.0443708106452722,-0.0638772908983805
"H2O..mg.gsoil.","~","pH",6.1884349684884,-1.97970509750513
"H2O..mg.gsoil.","~","Richness",0.862571182283008,0.00458750332854092
"H2O..mg.gsoil.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.000254701716977623,-0.00230417922243856
"pH","~","TP..mg.P.kg.",0.822141578216115,0.0961581803899965
"pH","~","NO3..mg.L.",0.728868915958597,0.0946125487394646
"pH","~","NH4..mg.L.",0.444708607693704,-0.0647533712596951
"pH","~","TN..mg.L.",0.340720024522252,0.0642090032070482
"pH","~","H2O..mg.gsoil.",6.18843496848845,-0.260494815460462
"pH","~","Richness",0.0487557518007547,0.000351440773586191
"pH","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00131967868243229,-0.00183086446146174
"Richness","~","warmed",0.0333943248489927,5.50335798803919
"Richness","~","clipped",0.743006090152734,16.913008310903
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","warmed",0.139325777115843,-0.179637604750119
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","clipped",0.780786030922308,-0.277064434578841
"warmed","~","TP..mg.P.kg.",6.3949819904128e-30,-1.71431181601572e-16
"warmed","~","NO3..mg.L.",1.44883255578277e-29,1.94195290426951e-16
"warmed","~","NH4..mg.L.",1.81572428936547e-29,-4.86743763868684e-16
"warmed","~","TN..mg.L.",9.29645073973257e-31,4.9842252484914e-17
"warmed","~","H2O..mg.gsoil.",5.56540964583687e-30,-2.08869806726293e-16
"warmed","~","pH",1.74833503697028e-32,3.74942905762767e-18
"warmed","~","Richness",0.000484269108450033,3.01549223515215e-05
"warmed","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00579250158255151,-0.0168391671445302
"warmed","~","clipped",4.03439218336212e-31,7.81474715426069e-17
"clipped","~","TP..mg.P.kg.",5.70890295086313e-29,1.22431491439055e-15
"clipped","~","NO3..mg.L.",1.48014016330376e-29,4.44397245860728e-16
"clipped","~","NH4..mg.L.",8.79584885965798e-32,6.60216360779381e-17
"clipped","~","TN..mg.L.",6.03022090644016e-29,9.05256687573523e-16
"clipped","~","H2O..mg.gsoil.",0,0
"clipped","~","pH",6.60566279982623e-30,1.52560310378628e-16
"clipped","~","Richness",0.107565516801908,0.00092516226030853
"clipped","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.0191940673410526,-0.0319925335932694
"clipped","~","warmed",1.10175430239496e-29,-4.0838356096459e-16
