"lhs","op","rhs","mi","epc"
"warmed","~~","warmed",2.15345939303286e-30,-4.95967447198726e-17
"warmed","~~","clipped",3.21429215437415e-30,8.17846607271148e-17
"clipped","~~","clipped",4.44014845366729e-32,3.33277515356762e-17
"TP..mg.P.kg.","~","NO3..mg.L.",4.39168721564291,0.631751859836362
"TP..mg.P.kg.","~","NH4..mg.L.",0.0372691521530799,-0.0497735508227678
"TP..mg.P.kg.","~","TN..mg.L.",0.558655215877142,0.221523623253292
"TP..mg.P.kg.","~","H2O..mg.gsoil.",1.49095587478517,-0.344315385856705
"TP..mg.P.kg.","~","pH",0.420633796314159,0.356865041615998
"TP..mg.P.kg.","~","Richness",0.898080004143786,-0.00877625540144561
"TP..mg.P.kg.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.889497686281126,0.142764996608806
"NO3..mg.L.","~","TP..mg.P.kg.",4.39168721564297,0.579300130167073
"NO3..mg.L.","~","NH4..mg.L.",0.0316407839716882,-0.0439163294103627
"NO3..mg.L.","~","TN..mg.L.",3.01151323818585,0.492514537411972
"NO3..mg.L.","~","H2O..mg.gsoil.",1.89744649657005,-0.371952388826994
"NO3..mg.L.","~","pH",0.199344187760312,0.235251424640228
"NO3..mg.L.","~","Richness",5.95799236999255,0.0223752397462035
"NO3..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.55781072955658,-0.358802585287214
"NH4..mg.L.","~","TP..mg.P.kg.",0.0372691521530789,-0.0623978524353674
"NH4..mg.L.","~","NO3..mg.L.",0.0316407839716867,-0.0600398993504098
"NH4..mg.L.","~","TN..mg.L.",7.47417039209174,0.907225238709401
"NH4..mg.L.","~","H2O..mg.gsoil.",1.73420697270945,0.415776565749191
"NH4..mg.L.","~","pH",0.00100331756607958,0.0195144646730274
"NH4..mg.L.","~","Richness",0.0187107722939131,-0.00122810585744819
"NH4..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",3.93738437212887,-0.325914730451716
"TN..mg.L.","~","TP..mg.P.kg.",0.558655215877134,0.210156373570429
"TN..mg.L.","~","NO3..mg.L.",3.01151323818564,0.509547267038891
"TN..mg.L.","~","NH4..mg.L.",7.47417039209177,0.686541231547269
"TN..mg.L.","~","H2O..mg.gsoil.",0.101489235994584,-0.0874974277512535
"TN..mg.L.","~","pH",0.43252626050904,0.352467781411206
"TN..mg.L.","~","Richness",0.713752341251097,-0.00636702616067675
"TN..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.08478479143069,0.353185702600556
"H2O..mg.gsoil.","~","TP..mg.P.kg.",1.49095587478518,-0.360850336645929
"H2O..mg.gsoil.","~","NO3..mg.L.",1.89744649657004,-0.425109627281358
"H2O..mg.gsoil.","~","NH4..mg.L.",1.73420697270945,0.34758391797619
"H2O..mg.gsoil.","~","TN..mg.L.",0.101489235994585,-0.0966592567375319
"H2O..mg.gsoil.","~","pH",4.88262753643744,-1.24469821126761
"H2O..mg.gsoil.","~","Richness",0.319062488139882,0.00464275734969958
"H2O..mg.gsoil.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",1.61330404533078e-05,-0.000581414246098569
"pH","~","TP..mg.P.kg.",0.42063379631416,0.0982242928609185
"pH","~","NO3..mg.L.",0.199344187760305,0.0706138790533499
"pH","~","NH4..mg.L.",0.00100331756607931,0.0042845037552505
"pH","~","TN..mg.L.",0.43252626050905,0.102261417761671
"pH","~","H2O..mg.gsoil.",4.88262753643745,-0.326895005032651
"pH","~","Richness",3.8997220364463,0.00752784794221598
"pH","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.0032184133740461,0.00408325383588233
"Richness","~","warmed",2.83420403965866,44.7118140838738
"Richness","~","clipped",0.0863536300049961,-4.60112001965475
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","warmed",0.1090782451337,-0.192742136279108
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","clipped",0.902043534017416,-0.326766761684773
"warmed","~","TP..mg.P.kg.",1.61985540280268e-29,3.5760687198315e-16
"warmed","~","NO3..mg.L.",7.83508128339652e-30,1.83781610147511e-16
"warmed","~","NH4..mg.L.",6.35328886412295e-30,4.76877822684021e-16
"warmed","~","TN..mg.L.",6.95026421516139e-30,1.86316710294806e-16
"warmed","~","H2O..mg.gsoil.",4.42945626594677e-30,-2.77062466510719e-16
"warmed","~","pH",4.11917890972063e-30,8.24494782350676e-17
"warmed","~","Richness",0.0357493833076365,0.000250961968627663
"warmed","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00115502531155775,0.00789698228852048
"warmed","~","clipped",1.01629553229687e-34,1.01629553229687e-34
"clipped","~","TP..mg.P.kg.",1.24194550887326e-31,9.32204221829343e-17
"clipped","~","NO3..mg.L.",9.29821207337231e-30,5.36864415754505e-16
"clipped","~","NH4..mg.L.",6.52497246848274e-30,-1.22441098240257e-15
"clipped","~","TN..mg.L.",8.31431410398904e-30,-5.67338513644944e-16
"clipped","~","H2O..mg.gsoil.",1.33439011129638e-31,-1.00159313466688e-16
"clipped","~","pH",5.88648161575893e-31,8.03344133674399e-17
"clipped","~","Richness",0.03990101805394,-0.000618369700079366
"clipped","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.590469886664875,-0.200737108434025
"clipped","~","warmed",6.08337040818365e-31,-1.53270292047287e-16
