"lhs","op","rhs","mi","epc"
"warmed","~~","warmed",2.38209746917671e-31,-1.64954661518289e-17
"warmed","~~","clipped",4.26971758742621e-30,9.42602869397545e-17
"clipped","~~","clipped",4.44014845366761e-32,3.33277515356786e-17
"TP..mg.P.kg.","~","NO3..mg.L.",4.39168721564791,0.63175185983708
"TP..mg.P.kg.","~","NH4..mg.L.",0.0372691521530806,-0.0497735508227679
"TP..mg.P.kg.","~","TN..mg.L.",0.558655215877151,0.221523623253297
"TP..mg.P.kg.","~","H2O..mg.gsoil.",1.49095587478518,-0.344315385856705
"TP..mg.P.kg.","~","pH",0.420633796314151,0.356865041615993
"TP..mg.P.kg.","~","Richness",0.710566427521898,0.100650496371858
"TP..mg.P.kg.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.889497686281523,0.142764996608871
"NO3..mg.L.","~","TP..mg.P.kg.",4.39168721564795,0.57930013016773
"NO3..mg.L.","~","NH4..mg.L.",0.0316407839717258,-0.0439163294104136
"NO3..mg.L.","~","TN..mg.L.",3.01151323818916,0.492514537412515
"NO3..mg.L.","~","H2O..mg.gsoil.",1.89744649657224,-0.371952388827424
"NO3..mg.L.","~","pH",0.199344187760527,0.235251424640491
"NO3..mg.L.","~","Richness",0.00264323721496855,-0.00650469778553543
"NO3..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.55781072956218,-0.358802585287655
"NH4..mg.L.","~","TP..mg.P.kg.",0.03726915215308,-0.0623978524353679
"NH4..mg.L.","~","NO3..mg.L.",0.0316407839717226,-0.0600398993504775
"NH4..mg.L.","~","TN..mg.L.",7.47417039209175,0.907225238709404
"NH4..mg.L.","~","H2O..mg.gsoil.",1.73420697270942,0.415776565749185
"NH4..mg.L.","~","pH",0.0010033175660792,0.0195144646730234
"NH4..mg.L.","~","Richness",4.33331369250407,-0.283356013221735
"NH4..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",3.93738437213068,-0.325914730451867
"TN..mg.L.","~","TP..mg.P.kg.",0.558655215877158,0.210156373570436
"TN..mg.L.","~","NO3..mg.L.",3.01151323818921,0.509547267039491
"TN..mg.L.","~","NH4..mg.L.",7.47417039209167,0.68654123154726
"TN..mg.L.","~","H2O..mg.gsoil.",0.101489235994583,-0.087497427751253
"TN..mg.L.","~","pH",0.43252626050905,0.352467781411208
"TN..mg.L.","~","Richness",8.70704019042171,0.395030104364287
"TN..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.08478479143334,0.353185702600785
"H2O..mg.gsoil.","~","TP..mg.P.kg.",1.49095587478517,-0.360850336645928
"H2O..mg.gsoil.","~","NO3..mg.L.",1.89744649657225,-0.425109627281851
"H2O..mg.gsoil.","~","NH4..mg.L.",1.73420697270942,0.347583917976186
"H2O..mg.gsoil.","~","TN..mg.L.",0.101489235994583,-0.0966592567375305
"H2O..mg.gsoil.","~","pH",4.88262753643737,-1.2446982112676
"H2O..mg.gsoil.","~","Richness",0.0534568279488926,-0.0262921873572219
"H2O..mg.gsoil.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",1.61330404533804e-05,-0.000581414246099994
"pH","~","TP..mg.P.kg.",0.420633796314155,0.0982242928609174
"pH","~","NO3..mg.L.",0.199344187760534,0.070613879053431
"pH","~","NH4..mg.L.",0.0010033175660793,0.00428450375525042
"pH","~","TN..mg.L.",0.432526260509046,0.102261417761671
"pH","~","H2O..mg.gsoil.",4.88262753643738,-0.326895005032647
"pH","~","Richness",0.617345257916689,0.0434583625553746
"pH","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00321841337404655,0.00408325383588289
"Richness","~","warmed",1.12904750273791,1.2890290672672
"Richness","~","clipped",0.00172597512803522,0.0297125823380602
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","warmed",0.141621137574486,-0.217375344053019
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","clipped",0.978769181009802,-0.336901476568652
"warmed","~","TP..mg.P.kg.",3.58722303734984e-30,-1.68285586815662e-16
"warmed","~","NO3..mg.L.",5.99873410760291e-30,1.60808908879138e-16
"warmed","~","NH4..mg.L.",2.54131554565022e-29,9.53755645368432e-16
"warmed","~","TN..mg.L.",1.73756605379104e-30,-9.31583551474399e-17
"warmed","~","H2O..mg.gsoil.",4.42945626594856e-30,-2.77062466510831e-16
"warmed","~","pH",6.15863015658038e-31,3.18804649175725e-17
"warmed","~","Richness",1.32790446429159,0.343663716325964
"warmed","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00115502531155943,0.0078969822885284
"warmed","~","clipped",3.86842833043089e-30,4.89858044722575e-16
"clipped","~","TP..mg.P.kg.",1.24194550887367e-29,-9.32204221829656e-16
"clipped","~","NO3..mg.L.",3.43868789695827e-31,-1.03243156875898e-16
"clipped","~","NH4..mg.L.",1.01952694820071e-31,1.01952694820071e-31
"clipped","~","TN..mg.L.",2.74853358809643e-29,-1.03152457026386e-15
"clipped","~","H2O..mg.gsoil.",5.33756044518643e-31,2.00318626933409e-16
"clipped","~","pH",8.22161481870694e-31,-9.49406703433649e-17
"clipped","~","Richness",0.00434753501185508,-0.0107772204771403
"clipped","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.590469886666751,-0.200737108434668
"clipped","~","warmed",1.85931170478556e-30,2.67955056026812e-16
