"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Pseudomonas",2207480.69230769,2.82433090275537,0.00109879637113478,0.0082238040902119,"T2"
"Enterobacteriaceae_unclassified",29827.7692307692,-8.99450188963397,7.05591404459896e-06,5.67603272683704e-05,"T1"
"Rhizobiaceae_unclassified",57153,16.0912156430811,2.95446634306602e-25,5.6607575133145e-23,"T2"
"Massilia",7447.61538461538,-14.9298644251726,8.49145672836523e-15,1.4248439890141e-13,"T1"
"Chryseobacterium",1159.26923076923,-12.2934676127163,6.68157742250851e-18,1.4547616297189e-16,"T1"
"Flavobacterium",5454.19230769231,-14.5283576987381,2.0036936435293e-23,1.59961542541756e-21,"T1"
"Gaiella",1685.73076923077,-12.833919636542,9.21419714837391e-19,2.45200024115061e-17,"T1"
"Gaiellales_genus",3788.76923076923,-6.60700806158356,0.000683172907172325,0.00515338303205581,"T1"
"Candidatus_Udaeobacter",250.115384615385,9.34165314910068,2.76202830446347e-09,2.61982486700595e-08,"T2"
"Chthoniobacter",6241.42307692308,13.9859869637987,1.33263643916347e-16,2.6054402218747e-15,"T2"
"KD4.96_ge",2594.61538461538,-13.456291508816,9.92256991813837e-20,2.88055211562926e-18,"T1"
"WD2101_soil_group_ge",12399.6153846154,12.5318510435238,5.89793671932988e-10,5.82497255372992e-09,"T2"
"Solirubrobacter",920.230769230769,-10.3954813594537,5.38014759807333e-09,4.90874418948024e-08,"T1"
"Luteitalea",13101.5769230769,-15.7740502012846,4.38515995956174e-16,8.07881392550027e-15,"T1"
"Verrucomicrobiaceae_genus",17225.8076923077,-14.2756150997272,6.16090361569899e-12,7.19773861443857e-11,"T1"
"PLTA13_ge",3405.92307692308,-13.7484207866858,2.3934097343967e-13,3.58263519617505e-12,"T1"
"Nocardioides",32599.3461538462,-16.0836613315597,9.77031415522365e-17,1.94999186681339e-15,"T1"
"Ellin6067",907.269230769231,11.0605042027992,1.33708093771105e-08,1.17515920947448e-07,"T2"
"Microscillaceae_genus",6198.5,-11.8259213429327,5.18552035152877e-10,5.17471718412975e-09,"T1"
"CCD24_ge",1321.46153846154,-12.4826034312823,3.31703697332089e-18,7.7505400498571e-17,"T1"
"Adhaeribacter",4873,-14.3657730234284,3.93512026405703e-21,1.63906313607245e-19,"T1"
"Rhodanobacteraceae_unclassified",617.884615384615,10.6482491076531,9.25183622376607e-11,9.63397728518249e-10,"T2"
"Subgroup_11_ge",22522.4615384615,-15.2480353144908,2.34752520877522e-14,3.6273050806559e-13,"T1"
"Haliangium",16514.7692307692,12.0899860171544,5.65072233395045e-09,5.10697358106088e-08,"T2"
"Pseudarthrobacter",15248.5,15.2749488036709,5.40935892117433e-18,1.20515484801977e-16,"T2"
"Ramlibacter",1221.5,-12.369104607045,5.0482050299919e-18,1.15147152826958e-16,"T1"
"Ferruginibacter",4490.69230769231,-14.2478828840949,5.9872418228135e-21,2.29431106650213e-19,"T1"
"RCP2.54_ge",2658.11538461538,12.7543504952348,4.91604351374642e-13,6.90354078198911e-12,"T2"
"Rikenellaceae_RC9_gut_group",34141.1538461538,-17.1745738982982,1.06952435235584e-25,3.41534776518963e-23,"T1"
"Blastocatellaceae_genus",1497.57692307692,-12.6630961017816,1.71399771986549e-18,4.3210784621872e-17,"T1"
"Arenimonas",114.423076923077,-8.94394946286374,2.50999822179263e-12,3.1639188111544e-11,"T1"
"Gemmata",6265.76923076923,13.9916145108656,1.65711105628116e-16,3.17502478383471e-15,"T2"
"Ellin6055",131.653846153846,-8.62868583067578,6.74342665913944e-08,5.820002467978e-07,"T1"
"Geminicoccaceae_genus",3187.73076923077,13.0165227700507,2.34113934063773e-15,4.07783906969263e-14,"T2"
"Bacillaceae_unclassified",863.038461538462,-5.45860776590296,0.000507113959404496,0.00385567597705958,"T1"
"Subgroup_7_ge",14829.9615384615,14.506986482317,5.84023556234852e-13,7.99277952675697e-12,"T2"
"Streptomyces",13544.5384615385,15.1038265028503,4.29009267722826e-19,1.17425965279562e-17,"T2"
"Subgroup_5_ge",5513.61538461538,-13.7118564003901,8.78230379147738e-12,1.00160083717087e-10,"T1"
"Entotheonellaceae_ge",16333.8076923077,-16.1109030670591,1.10423929782645e-23,1.1754013859086e-21,"T1"
"Flavisolibacter",1377.15384615385,11.8053379128511,4.87219525728382e-12,5.83445382059738e-11,"T2"
"Rhodococcus",42786.5,-17.5002306153952,6.4383081896161e-30,6.16789924565222e-27,"T1"
"Gemmatimonas",12068.3461538462,-14.3571438596452,1.71013617048376e-14,2.7305174188724e-13,"T1"
