"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Pseudomonas",2057271.125,2.82433102774506,0.000374005223648954,0.00286637603404558,"T3"
"Enterobacteriaceae_unclassified",41624.75,-8.99452607658601,3.2886778422881e-06,2.78810033001062e-05,"T1"
"Rhizobiaceae_unclassified",43635.0625,16.0912296627415,9.80561013036716e-32,9.39377450489174e-29,"T3"
"Massilia",11706.125,-14.9298280614985,3.07644312876454e-16,1.1541224512605e-14,"T1"
"Chryseobacterium",1883.1875,-12.2934750975014,4.12557510081629e-13,6.933861309793e-12,"T1"
"Flavobacterium",8862.4375,-14.5283554340689,3.33000893587855e-17,2.27867754326547e-15,"T1"
"Gaiella",2738.6875,-12.8339169074009,1.00897305751274e-13,2.10129606325479e-12,"T1"
"Gaiellales_genus",5896.6875,-6.55697136874472,0.000940656056126776,0.00715197223626548,"T1"
"Candidatus_Udaeobacter",405.8125,9.34137522079465,3.73679736391739e-07,3.31467766169709e-06,"T3"
"Chthoniobacter",10141.6875,13.98597424997,1.71569341639626e-12,2.56817858266815e-11,"T3"
"KD4.96_ge",4215.625,-13.4562860077909,1.92761950589157e-14,4.294556945684e-13,"T1"
"WD2101_soil_group_ge",3701.8125,12.5318910389596,4.47672914109642e-11,5.71827535622716e-10,"T3"
"Luteitalea",21012.5,-15.7738660187084,2.8774144491138e-17,2.12043310942386e-15,"T1"
"Bryobacter",5156.5625,-6.12516007206749,0.00350827544818927,0.0262572490575416,"T1"
"Verrucomicrobiaceae_genus",7438.5,-14.2756443827575,1.98589192001099e-15,5.9452639355329e-14,"T1"
"PLTA13_ge",5161.75,-13.7484389021141,8.69709827210948e-15,2.31439448463358e-13,"T1"
"Nocardioides",26046.25,-16.083748141628,6.89422428860411e-23,2.20155562282758e-20,"T1"
"Ellin6067",1335.25,11.0605103593531,1.75226113731675e-08,1.69562239348429e-07,"T3"
"Latescibacterota_ge",14429.1875,-15.2316164014141,1.35144926893765e-16,5.88494727110124e-15,"T1"
"Microscillaceae_genus",1362.0625,-11.8258985450558,1.38675112441102e-12,2.14275415675123e-11,"T1"
"Pirellula",10138.125,-14.722385322525,5.48366655974032e-16,1.94568613490045e-14,"T1"
"CCD24_ge",2146.75,-12.4824962733282,2.52470046304086e-13,4.47900563628361e-12,"T1"
"Adhaeribacter",7918,-14.3657704653964,1.54012994649541e-15,4.91814829580869e-14,"T1"
"Rhodanobacteraceae_unclassified",1003.4375,10.6482289233331,3.64618964111973e-08,3.45846502593337e-07,"T3"
"Subgroup_11_ge",14592.4375,-15.2478670962502,1.29280190708143e-16,5.88494727110124e-15,"T1"
"Pseudarthrobacter",24778.1875,15.2747659614792,1.08047493638241e-13,2.20232976394543e-12,"T3"
"Ramlibacter",1984.3125,-12.3689501343404,3.39137531038219e-13,5.80167419168954e-12,"T1"
"Ferruginibacter",7296.75,-14.2478805756735,2.14976643902814e-15,6.24083711693625e-14,"T1"
"RCP2.54_ge",4318.8125,12.7543105129476,8.43979108975481e-10,9.62538079045846e-09,"T3"
"Rikenellaceae_RC9_gut_group",55478.75,-17.1745726235921,6.27906856760005e-20,1.50383692194021e-17,"T1"
"Blastocatellaceae_genus",2432.9375,-12.6630922594998,1.57751801331712e-13,3.08420868726082e-12,"T1"
"Arenimonas",185.3125,-8.94394888294464,2.46343903664369e-09,2.62219399678295e-08,"T1"
"Gemmata",10181.25,13.991598265149,2.01047429261405e-12,2.918233897461e-11,"T3"
"Ellin6055",149,-8.62811056775329,5.54170902403261e-09,5.70855617744435e-08,"T1"
"Geminicoccaceae_genus",5179.4375,13.0165041510711,1.6544281123552e-11,2.23231286145955e-10,"T3"
"Bacillaceae_unclassified",1406.8125,-5.32415810255954,0.00404868141259013,0.0300669518857469,"T1"
"Subgroup_7_ge",14553.1875,14.5070191723326,6.55546407761576e-13,1.06442959090778e-11,"T3"
"Streptomyces",6147.75,13.2637954218618,1.85603816769868e-12,2.73551471485436e-11,"T3"
"Subgroup_5_ge",5032.375,-13.7118244510398,9.61686792845327e-15,2.48998904742114e-13,"T1"
"Entotheonellaceae_ge",26541.8125,-16.1108917807661,9.52683825472406e-18,9.12671104802565e-16,"T1"
"Flavisolibacter",2237.25,11.8052964077938,4.67198626352489e-09,4.91842070379873e-08,"T3"
"Rhodococcus",69527.4375,-17.5002342288498,1.83225544368506e-23,8.77650357525142e-21,"T1"
"Gemmatimonas",7870.875,-14.3571650132226,4.85894432014284e-17,2.90929291168552e-15,"T1"
"Microtrichales_genus",27081.625,-16.1399419801412,8.59079080662429e-18,9.12671104802565e-16,"T1"
"Alphaproteobacteria_unclassified",10053.875,-7.54482154111332,0.000205151146708133,0.00158495805279348,"T1"
"Rokubacteriales_ge",5063.5625,12.9838588929707,1.83949157197051e-11,2.44754573048298e-10,"T3"
"Paenibacillus",4424.5,-13.5260675252496,1.59591802132871e-14,3.64021301055454e-13,"T1"
"Candidatus_Xiphinematobacter",17024.375,-15.4702134542447,6.99104588734526e-17,3.72078997782042e-15,"T1"
"Porphyrobacter",19294.25,14.9138480817782,2.20972944702134e-13,4.15082511813028e-12,"T3"
"MB.A2.108_ge",545.4375,-10.5046115873463,4.31195188986108e-11,5.5822296087661e-10,"T1"
"Rhodobacteraceae_unclassified",31876.75,-9.03431795472393,8.51301063814299e-06,7.15391595731666e-05,"T1"
"Pedosphaeraceae_genus",18028.625,14.8159729636686,2.71520423470551e-13,4.72939210335978e-12,"T3"
"Pseudonocardia",17116.9375,14.7411186271243,4.43608231114642e-13,7.32718423116943e-12,"T3"
